Id,Question,Type,Image,Option 1,Image 1,Option 2,Image 2,Option 3,Image 3,Option 4,Image 4,Option 5,Image 5,Option 6,Image 6,Option 7,Image 7,Option 8,Image 8,Option 9,Image 9,Option 10,Image 10,Option 11,Image 11,Option 12,Image 12,Option 13,Image 13,Option 14,Image 14,Option 15,Image 15,Correct Answer
1,"Which sorting algorithm is usually \(O(n \log n)\) time, but is \(O(n^2)\) in the worst case scenario?",MC,,Heap Sort,,Quick Sort,,Selection Sort,,Radix Sort,,Merge Sort,,Insertion Sort,,Shell Sort,,Bucket/Counting Sort,,Bubble Sort,,,,,,,,,,,,,,2
2,One of the worst case scenarios in the above sort occurs when the list is...,MC,,in a random order.,,already sorted.,,bounded in range.,,,,,,,,,,,,,,,,,,,,,,,,,,2
3,The worst case scenario that is the answer to question 2 is the best case scenario for which other sorting method?,MC,,Heap Sort,,Quick Sort,,Selection Sort,,Radix Sort,,Merge Sort,,Insertion Sort,,Shell Sort,,Bucket/Counting Sort,,,,,,,,,,,,,,,,6
4,Selection sort is _____; insertion sort is _____.,MC,,"stable, stable",,"stable, unstable",,"unstable, stable",,"unstable, unstable",,,,,,,,,,,,,,,,,,,,,,,,3
5,"The graph traversal algorithms discussed in class have data structures that may be helpful for implementation of finding the ""next"" vertex to investigate. Particularly, a _____ would be helpful for BFS, a _____ would be helpful for DFS, and a _____ would be helpful for Dijkstra's Algorithm.",MC,,"stack, queue, heap",,"stack, heap, queue",,"queue, stack, heap",,"queue, heap, stack",,"heap, queue, stack",,"heap, stack, queue",,,,,,,,,,,,,,,,,,,,3
6,The best runtime one can achieve with comparison based sorts is...,MC,,\(O(n^2)\),,\(O(n \log n)\),,\(O(n)\),,\(O(\log n)\),,\(O(1)\),,,,,,,,,,,,,,,,,,,,,,2
7,"When inserting/removing from a heap, which invariant is (re)established first?",MC,,Shape property,,Heap property,,BST invariants,,,,,,,,,,,,,,,,,,,,,,,,,,1
8,Let \(i\) be the index of the array representing the location of the current Node in the heap. Where is the right child?,MC,,\(\frac{i}{2}\),,\(i+1\),,\(i+2\),,\(2i-1\),,\(2i\),,\(2i+1\),,\(2i+2\),,,,,,,,,,,,,,,,,,6
9,What is the space complexity of radix sort (including the space required to store the list to sort)?,MC,,\(O(num\_digits)\),,\(O(n+num\_digits)\),,\(O(n*num\_digits)\),,\(O(range\_size)\),,\(O(n+range\_size)\),,\(O(n*range\_size)\),,\(O(base)\),,\(O(n+base)\),,\(O(n*base)\),,\(O(n*(base+num\_digits))\),,\(O(n+(base*num\_digits))\),,\(O(num\_digits*(n+base))\),,\(O(num\_digits+(n*base))\),,\(O(metro\_sim)\),,,,8
10,"The runtime for BFS and DFS is _____ if edges are represented in an adjacency list, and _____ if edges are represented in an adjacency matrix.",MC,,"\(O(|V|)\), \(O(|V|)\)",,"\(O(|V|^2)\), \(O(|V|^2)\)",,"\(O(|V|^2)\), \(O(|V|^3)\)",,"\(O(|V|+|E|)\), \(O(|V|*|E|)\)",,"\(O(|V|^2)\), \(O(|V|+|E|)\)",,"\(O(|V|^2)\), \(O(|V|*|E|)\)",,"\(O(|V|*|E|)\), \(O(|V|^2)\)",,"\(O(|V|+|E|)\), \(O(|V|^2)\)",,,,,,,,,,,,,,,,8
