Id,Question,Type,Image,Option 1,Image 1,Option 2,Image 2,Option 3,Image 3,Option 4,Image 4,Option 5,Image 5,Option 6,Image 6,Option 7,Image 7,Option 8,Image 8,Option 9,Image 9,Option 10,Image 10,Option 11,Image 11,Option 12,Image 12,Option 13,Image 13,Option 14,Image 14,Option 15,Image 15,Correct Answer
1,There are three characteristics of good axioms (or four if you count decidability). Two are that they are independent and consistent. What is the third?,MC,,All statements can be proven to be either true or false.,,You cannot simultaneously prove a statement true and false.,,You cannot derive one axiom from another axiom.,,All axioms are recognizable by a Turing Machine.,,,,,,,,,,,,,,,,,,,,,,,,1
2,All of the following statements about the differing sizes of infinity are true EXCEPT...,MC,,The set of all integers has the same size as the set of all even integers.,,The set of all rational numbers has the same size as the set of all integers.,,The set of all real numbers has the same size as the set of all rational numbers.,,The set of all real numbers between 0 and 277 has the same size as the set of all real numbers.,,The set of all complex numbers has the same size as the set of all real numbers.,,All of the above are true,,None of the above are true,,,,,,,,,,,,,,,,,,3
3,Which of the following are paradoxes? Select two options.,Checkboxes,,The set of all sets that contain themselves,,The set of all sets that do not contain themselves,,Richardian,,Not Richardian,,,,,,,,,,,,,,,,,,,,,,,,"2,3"
4,"Godel proved that if arithmetic is consistent, then it is necessarily _____, before taking it a step further and proving that the consistency of arithmetic cannot be proved within arithmetic.",MC,,dependent,,incomplete,,undecidable,,,,,,,,,,,,,,,,,,,,,,,,,,2
5,"The specification for the transition function of a Turing Machine is as follows:
\(Q \times \Gamma \to \Gamma \times \{L, R\} \times Q\).

Let's say \(T_1\) is a Turing Machine except that it has a slightly modified transition function spec:
\(Q \times \Gamma \to \Gamma \times \{R\} \times Q\).

Let's further suppose that \(T_2\) is a Turing Machine with this transition function spec:
\(Q \times \Gamma \to \Gamma \times \{L, S, R\} \times Q\).
(where \(S\) means ""stay in place"")

\(T_1\) is _____ a regular Turing Machine, and \(T_2\) is _____ a regular Turing Machine.",MC,,less powerful than; just as powerful as,,less powerful than; more powerful than,,just as powerful as; just as powerful as,,just as powerful as; more powerful than,,,,,,,,,,,,,,,,,,,,,,,,1
6,"Consider the following specification for a Turing Machine on a tape with all characters initially as _:

\(Q = \{q_0, q_1\}\)
\(\Gamma = \{0, 1, \_\}\)
\(q_0\) is the initial state

Transition Function: <table><tr><th>\(Q\)</th><th>\(\Gamma\)</th><th>\(\Gamma \times \{L, R\} \times Q\)</th></tr><tr><td>\(q_0\)</td><td>\(\_\)</td><td>\(0, R, q_1\)</td></tr><tr><td>\(q_0\)</td><td>\(0\)</td><td>\(1, R, q_1\)</td></tr><tr><td>\(q_0\)</td><td>\(1\)</td><td>\(1, R, q_0\)</td></tr><tr><td>\(q_1\)</td><td>\(\_\)</td><td>\(0, L, q_0\)</td></tr><tr><td>\(q_1\)</td><td>\(0\)</td><td>\(1, R, q_0\)</td></tr><tr><td>\(q_1\)</td><td>\(1\)</td><td>\(1, R, q_1\)</td></tr></table>
What does this Turing Machine print?",MC,,.00000000.....,,.00110011.....,,.01010101.....,,.10101010.......,,.11001100......,,.111111......00,,.11111111......,,,,,,,,,,,,,,,,,,7
7,"Consider the following tape configuration: \(0q_100\). Suppose that the transition function contained the following: \(q_1, 0 \to 1, R, q_2\). What would be the tape configuration after one ""click""?",MC,,\(0q_110\),,\(1q_100\),,\(01q_20\),,\(10q_20\),,,,,,,,,,,,,,,,,,,,,,,,3
8,"For a Turing Machine Decider, there are two alphabets: \(\Gamma\) (the tape alphabet) and \(\Sigma\) (the input alphabet). What is the relationship between them?",MC,,\(\Gamma\) is a proper subset of \(\Sigma\).,,\(\Sigma\) is a proper subset of \(\Gamma\).,,\(\Gamma\) is equal to \(\Sigma\).,,\(\Gamma\) and \(\Sigma\) are entirely independent of each other.,,,,,,,,,,,,,,,,,,,,,,,,2
9,What is the complement of \(A_{TM}\)?,MC,,\(\{ \langle M \rangle \) such that \(M\) accepts \(\}\),,\(\{ \langle M \rangle \) such that \(M\) does not accept \(\}\),,\(\{ \langle M \rangle \) such that \(M\) rejects \(\}\),,"\(\{ \langle M, w \rangle \) such that \(M\) accepts \(w\) \(\}\)",,"\(\{ \langle M, w \rangle \) such that \(M\) does not accept \(w\) \(\}\)",,"\(\{ \langle M, w \rangle \) such that \(M\) rejects \(w\) \(\}\)",,Both the second and third option are correct,,Both the fifth and sixth option are correct,,,,,,,,,,,,,,,,5
10,Suppose we know that \(L_1\) is TM undecidable. How would we prove that \(L_2\) is also TM undecidable?,MC,,Prove that \(L_2\) is unrecognizable.,,Construct a recognizer for \(L_2\) and its complement.,,Construct a decider for \(L_1\) using the decider for \(L_2\).,,Construct a decider for \(L_2\) using the decider for \(L_1\).,,Both the first and the third option are correct.,,Both the first and the fourth option are correct.,,,,,,,,,,,,,,,,,,,,5
