Id,Question,Type,Image,Option 1,Image 1,Option 2,Image 2,Option 3,Image 3,Option 4,Image 4,Option 5,Image 5,Option 6,Image 6,Option 7,Image 7,Option 8,Image 8,Option 9,Image 9,Option 10,Image 10,Option 11,Image 11,Option 12,Image 12,Option 13,Image 13,Option 14,Image 14,Option 15,Image 15,Correct Answer
1,"During the tuning process, instruments in a band are tuned to the...",MC,,Oboe,,Trumpet,,Tuba,,Clarinet,,,,,,,,,,,,,,,,,,,,,,,,4
2,What is the primary part the audience is listening to in a band?,MC,,Melody,,Countermelody,,Harmony,,Bass Line,,,,,,,,,,,,,,,,,,,,,,,,1
3,"When you see this accidental (#), you should be playing the note _____ the note indicated.",MC,,a half step above,,a half step below,,a whole step above,,a whole step below,,,,,,,,,,,,,,,,,,,,,,,,1
4,F#=Gb is an example of a(n)...,MC,,Interval,,Octave,,Enharmonic,,Expressive marking,,,,,,,,,,,,,,,,,,,,,,,,3
5,Tempo is referred to as...,MC,,Speed of the piece of music,,Style of the piece of music,,Notes on the music,,Volume of the piece of music,,,,,,,,,,,,,,,,,,,,,,,,1
6,"In order to ensure note accuracy, faster rhythms should be practiced at a _____ at first.",MC,,Smoother Style,,Slower Tempo,,Louder Dynamic,,Different Key,,,,,,,,,,,,,,,,,,,,,,,,2
7,How many trumpet parts are there in a song?,MC,,2,,3,,4,,Depends,,,,,,,,,,,,,,,,,,,,,,,,4
8,Note accuracy is...,MC,,How loud or soft a piece of music is,,How fast or slow a piece of music is,,How correctly notes are played,,How the style of the notes are carried out,,,,,,,,,,,,,,,,,,,,,,,,3
9,"In the 2016-2017 school year, what is the report time before a concert in CONCERT band?",MC,,5:45pm,,6:15pm,,6:30pm,,6:45pm,,,,,,,,,,,,,,,,,,,,,,,,3
10,"In the 2016-2017 school year, what day of the week are band concerts on?",MC,,Tuesday,,Thursday,,Friday,,Saturday,,,,,,,,,,,,,,,,,,,,,,,,2
