Id,Question,Type,Image,Option 1,Image 1,Option 2,Image 2,Option 3,Image 3,Option 4,Image 4,Option 5,Image 5,Option 6,Image 6,Option 7,Image 7,Option 8,Image 8,Option 9,Image 9,Option 10,Image 10,Option 11,Image 11,Option 12,Image 12,Option 13,Image 13,Option 14,Image 14,Option 15,Image 15,Correct Answer
1,"During any type of marching band performance, all horns should be angled toward...",MC,,The sideline,,The drum major,,The box,,The ground,,,,,,,,,,,,,,,,,,,,,,,,3
2,"According to instructor Evan, marching correctly is ____.",MC,,Comfortable,,Uncomfortable,,Easy,,Hard,,,,,,,,,,,,,,,,,,,,,,,,2
3,"In Marching Band, a ""step"" on a coordinate sheet refers to...",MC,,An 8 to 5,,A 16 to 5,,A 5 to 8,,A 20 to 79,,,,,,,,,,,,,,,,,,,,,,,,1
4,"In the 2016-2017 school year, what time are evening rehearsals in marching band on Tuesdays and Thursdays?",MC,,4:00pm-7:00pm,,5:30pm-8:30pm,,6:15pm-9:15pm,,7:30pm-10:30pm,,,,,,,,,,,,,,,,,,,,,,,,2
5,"In a 90 degree slide (marching), the hip should be at a __ degree angle.",MC,,30,,45,,60,,90,,,,,,,,,,,,,,,,,,,,,,,,2
6,"Besides Saturday shows, what other events does the Marching Band perform at?",MC,,Volleyball games,,Football games,,Math league competitions,,Cocoa and Cram,,,,,,,,,,,,,,,,,,,,,,,,2
7,"On average (roughly), around what time do marching band REHEARSALS end on Saturdays?",MC,,10:01am,,4:00pm,,11:00pm,,3:30am,,,,,,,,,,,,,,,,,,,,,,,,2
8,"When marching backwards, the ____ of your foot should NEVER touch the ground.",MC,,Platform,,Toes,,Heel,,Ball,,,,,,,,,,,,,,,,,,,,,,,,3
9,Which exercise in marching band is designed to specifically focus on basic marching technique?,MC,,Slow Roll,,Traffic,,Box,,Flow,,,,,,,,,,,,,,,,,,,,,,,,1
10,What is the title of the 2016 CHSMRB Show?,MC,,New World,,Out of the Darkness and Into the Light,,Duality,,The Midas Touch,,,,,,,,,,,,,,,,,,,,,,,,4
