Id,Question,Type,Image,Option 1,Image 1,Option 2,Image 2,Option 3,Image 3,Option 4,Image 4,Option 5,Image 5,Option 6,Image 6,Option 7,Image 7,Option 8,Image 8,Option 9,Image 9,Option 10,Image 10,Option 11,Image 11,Option 12,Image 12,Option 13,Image 13,Option 14,Image 14,Option 15,Image 15,Correct Answer
1,How high is the pickleball net?,MC,,3 feet,,5 feet,,8 feet,,12 feet,,,,,,,,,,,,,,,,,,,,,,,,1
2,"In pickleball, you can only score if your team is the...",MC,,Server,,Team that has the lowest score,,Team that does not have the lowest score,,Setter,,,,,,,,,,,,,,,,,,,,,,,,1
3,In which city was pickleball invented?,MC,,Washington DC,,"Seattle, Washington",,"Los Angeles, California",,"Topeka, Kansas",,,,,,,,,,,,,,,,,,,,,,,,2
4,Which project adventure activity involved holding onto a rope to cross a chasm?,MC,,TP Shuffle,,Wild Woozy,,Nitro Crossing,,Dodgeball,,,,,,,,,,,,,,,,,,,,,,,,3
5,Is teamwork important in Project Adventure?,MC,,Yes,,No,,It depends on the situation,,Rarely,,,,,,,,,,,,,,,,,,,,,,,,1
6,Most country line dances we learned are __ wall dances.,MC,,1,,2,,3,,4,,,,,,,,,,,,,,,,,,,,,,,,4
7,What is the first move of the Cotton Eye Joe?,MC,,Sing along with the song,,Hit your right heel on the ground,,Hit your right toe on the ground,,"Shout ""JOE!""",,,,,,,,,,,,,,,,,,,,,,,,2
8,"In Ultimate Frisbee, you score a touchdown if...",MC,,The frisbee touches the ground at any point.,,The frisbee goes out of bounds.,,The frisbee crosses the goal line.,,The frisbee turns upside-down,,,,,,,,,,,,,,,,,,,,,,,,3
9,Which sport is most similar to pickleball?,MC,,Basketball,,Baseball,,Tennis,,Track,,,,,,,,,,,,,,,,,,,,,,,,3
10,Which lunch wave do the people who have gym during the lunch period have?,MC,,11:30am-11:55am,,12:04pm-12:29pm,,12:34pm-12:59pm,,7:30am-7:55am,,,,,,,,,,,,,,,,,,,,,,,,3
