Id,Question,Type,Image,Option 1,Image 1,Option 2,Image 2,Option 3,Image 3,Option 4,Image 4,Option 5,Image 5,Option 6,Image 6,Option 7,Image 7,Option 8,Image 8,Option 9,Image 9,Option 10,Image 10,Option 11,Image 11,Option 12,Image 12,Option 13,Image 13,Option 14,Image 14,Option 15,Image 15,Correct Answer
1,The colony of Maryland was created as a safe haven for which religion?,MC,,Catholicism,,Presbyterianism,,Baptism,,Society of Friends,,Antinomianism,,,,,,,,,,,,,,,,,,,,,,1
2,Shays' Rebellion led many to argue that...,MC,,The federal government was too powerful,,The federal government was corrupt,,The federal government was not strong enough,,The ordinary citizen was oppressed,,The ordinary citizen was an idiot,,,,,,,,,,,,,,,,,,,,,,3
3,Andrew Jackson's Specie Circular said that...,MC,,Only hard currency can be used in payments.,,No currency except paper money may be used in payments.,,The national bank should be destroyed.,,The national bank needs another term.,,Henry Clay should be barred from running for office.,,,,,,,,,,,,,,,,,,,,,,1
4,The Declaration of Sentiments from the Seneca Falls Convention in 1848 had many parallels with...,MC,,Abigail Adam's letters to John Adam's,,Susan Beach Anthony's speech,,The Declaraion of Independence,,Susan B. Anthony's speech,,<i>The Feminine Mystique</i> by Betty Friedan,,,,,,,,,,,,,,,,,,,,,,3
5,"During the Election of 1864, Lincoln ran as part of the _____ party.",MC,,Federalist,,Democrat,,Republican,,Union,,Free Soil,,,,,,,,,,,,,,,,,,,,,,4
6,"In the Compromise of 1877, as a concession to giving Rutherford B. Hayes the presidency...",MC,,The KKK was legalized,,Military reconstruction ended,,Congressional reconstruction was passed,,Carpetbaggers were granted power over the south,,Samuel J. Tilden was chosen for vice president,,,,,,,,,,,,,,,,,,,,,,2
7,The Dawes Severalty Act of 1887 was an attempt at ______ the Native Americans.,MC,,Pushing,,Assimilating,,Terminating,,Surrounding,,Preserving,,,,,,,,,,,,,,,,,,,,,,2
8,Muckrakers generally...,MC,,Made intended efforts to destroy big businesses,,Sensationized stories to gain attention,,Robbed houses,,Made alcohol in their homes in the wake of prohibition,,Exposed truths in the corruption of society,,,,,,,,,,,,,,,,,,,,,,5
9,What sparked American unity during World War II?,MC,,Hitler's invasion of Poland,,Lend Lease,,Article X,,Bombing of Hiroshima & Nagasaki,,Attack on Pearl Harbor,,,,,,,,,,,,,,,,,,,,,,5
10,"Lyndon B. Johnson's ""War on Poverty"" was dubbed as the...",MC,,Great Depression,,New Deal,,Fair Deal,,Great Society,,Square Deal,,,,,,,,,,,,,,,,,,,,,,4
