Id,Question,Type,Image,Option 1,Image 1,Option 2,Image 2,Option 3,Image 3,Option 4,Image 4,Option 5,Image 5,Option 6,Image 6,Option 7,Image 7,Option 8,Image 8,Option 9,Image 9,Option 10,Image 10,Option 11,Image 11,Option 12,Image 12,Option 13,Image 13,Option 14,Image 14,Option 15,Image 15,Correct Answer
1,What muscle facilitates breathing when singing?,MC,,Quadriceps,,Biceps,,Triceps,,Diaphragm,,,,,,,,,,,,,,,,,,,,,,,,4
2,Why is diction important when singing?,MC,,So the audience can get on their phones ASAP,,So the audience can understand what the singers are saying,,So the audience would get soothed,,So the audience would fall asleep quickly,,,,,,,,,,,,,,,,,,,,,,,,2
3,"When singing, what should the position of the shoulders be?",MC,,Front and down,,Back and down,,Front and up,,Back and up,,,,,,,,,,,,,,,,,,,,,,,,2
4,Which of these is NOT a characteristic of good tone?,MC,,Clear,,Resonant,,Strident,,Free,,,,,,,,,,,,,,,,,,,,,,,,3
5,Good intonation is defined as...,MC,,Singing a note too sharp,,Singing a note too flat,,Singing a note ON THE BULL'S EYE,,Singing the wrong note,,,,,,,,,,,,,,,,,,,,,,,,3
6,The abbreviation of a ritardando is...,MC,,<i>rdo.</i>,,<i>rito.</i>,,<i>radado.</i>,,<i>rit.</i>,,,,,,,,,,,,,,,,,,,,,,,,4
7,A fermata means to hold a note until...,MC,,Everyone runs out of breath,,The conductor cuts off,,Someone's head cracks open,,Someone rage-quits,,,,,,,,,,,,,,,,,,,,,,,,2
8,"When singing, your eyes should be...",MC,,Looking at the conductor,,Looking at the audience,,Looking at your peers,,What are eyes?,,,,,,,,,,,,,,,,,,,,,,,,1
9,"What happens when you call Rosie ""Ma?""",MC,,You die,,You are locked in the closet at the back of the room for 10 years,,You are socially shunned by the rest of the class until you die,,Rosie is much disappoint,,,,,,,,,,,,,,,,,,,,,,,,4
10,How wide should your feet be when standing (for singing)?,MC,,Shoulder width,,Hip width,,Elbow width,,Together,,,,,,,,,,,,,,,,,,,,,,,,1
