Id,Question,Type,Preformatted,Image,Option 1,Image 1,Option 2,Image 2,Option 3,Image 3,Option 4,Image 4,Option 5,Image 5,Option 6,Image 6,Option 7,Image 7,Option 8,Image 8,Option 9,Image 9,Option 10,Image 10,Option 11,Image 11,Option 12,Image 12,Option 13,Image 13,Option 14,Image 14,Option 15,Image 15,Correct Answer
1,All of the following are necessary to a game EXCEPT...,MC,,,A story,,High quality graphics,,A problem,,A solution,,,,,,,,,,,,,,,,,,,,,,,,2
2,Games should be...,MC,,,Impossible to beat,,"Beatable, but challenging",,Very easily beatable,,Completely blank,,,,,,,,,,,,,,,,,,,,,,,,2
3,"In blender, when designing, one should use...",MC,,,Notation mode,,Perspective mode,,Orthographic mode,,Orthopedic mode,,,,,,,,,,,,,,,,,,,,,,,,3
4,"In blender, edit mode allows you to...",MC,,,Edit objects as a whole,,Edit specific properties of one object,,Edit specific properties of multiple objects,,Undo and redo actions,,,,,,,,,,,,,,,,,,,,,,,,2
5,"In blender, which modifier would generally make the surface of an object more smooth?",MC,,,Distort,,Mirror,,Subdivision Surface,,Particle Edit,,,,,,,,,,,,,,,,,,,,,,,,3
6,"In an animation in blender, a cube travels 2 units on the x axis, then 2 units on the z axis. You would insert a _____ between those two movements.",MC,,,Yellow Frame,,Green Frame,,Keyframe,,Transition,,,,,,,,,,,,,,,,,,,,,,,,3
7,The first step of the Engineering and Design Process is...,MC,,,Define the Problem,,Brainstorm,,Research,,Prototype,,,,,,,,,,,,,,,,,,,,,,,,1
8,"Throughout the engineering and design process, one should always be...",MC,,,Brainstorming,,Researching,,Writing,,Evaluating,,,,,,,,,,,,,,,,,,,,,,,,4
9,An attribute in stencyl is basically a(n)...,MC,,,Variable,,Code,,Actor,,Sound,,,,,,,,,,,,,,,,,,,,,,,,1
10,"In Stencyl, the default animation on an actor is the one with a...",MC,,,Circle,,Square,,Star,,Triangle,,,,,,,,,,,,,,,,,,,,,,,,3
