Id,Question,Type,Image,Option 1,Image 1,Option 2,Image 2,Option 3,Image 3,Option 4,Image 4,Option 5,Image 5,Option 6,Image 6,Option 7,Image 7,Option 8,Image 8,Option 9,Image 9,Option 10,Image 10,Option 11,Image 11,Option 12,Image 12,Option 13,Image 13,Option 14,Image 14,Option 15,Image 15,Correct Answer
1,Spending more money than you have is often referred to as...,MC,,Delayed Gratification,,Deficit Spending,,Capital Gain,,Capital Loss,,,,,,,,,,,,,,,,,,,,,,,,2
2,Which of the following is NOT necessary for a SMART Goal?,MC,,Goal is realistic,,Goal is specific,,Goal has a deadline,,Goal is exceeded,,,,,,,,,,,,,,,,,,,,,,,,4
3,"When deciding between two job options, what should play a role in your decision besides the salary?",MC,,Free Toys,,Job Benefits,,Investments,,Leisure Time,,,,,,,,,,,,,,,,,,,,,,,,2
4,Medicare counts as what percentage taken off the gross payment?,MC,,1.45%,,6.20%,,10%,,20%,,,,,,,,,,,,,,,,,,,,,,,,1
5,What is common in all situations of secured debt?,MC,,Credit Card,,Collateral,,Death Penalties,,The FBI,,,,,,,,,,,,,,,,,,,,,,,,2
6,During what hours of the day is the NYSE open in pacific time?,MC,,6:30am-1:00pm,,7:30am-2:00pm,,8:30am-3:00pm,,9:30am-4:00pm,,,,,,,,,,,,,,,,,,,,,,,,1
7,"Generally, you only want to invest in stocks when...",MC,,You have at least a $100K house,,You have an adequate emergency fund,,Your fixed expenses are very minimal,,Your boss tells you to,,,,,,,,,,,,,,,,,,,,,,,,2
8,Blue chip stock involves...,MC,,Rich items,,Need items,,Toys,,Ocean gear,,,,,,,,,,,,,,,,,,,,,,,,2
9,"If you make a mistake on your check and don't want ANYONE to use it, what word do you write?",MC,,DON'T USE!,,DEATH,,STOCK,,VOID,,,,,,,,,,,,,,,,,,,,,,,,4
10,Fixed expenses involve...,MC,,Set payments,,Approximate payments,,Periodic payments,,No payments,,,,,,,,,,,,,,,,,,,,,,,,1
