Id,Question,Type,Preformatted,Image,Option 1,Image 1,Option 2,Image 2,Option 3,Image 3,Option 4,Image 4,Option 5,Image 5,Option 6,Image 6,Option 7,Image 7,Option 8,Image 8,Option 9,Image 9,Option 10,Image 10,Option 11,Image 11,Option 12,Image 12,Option 13,Image 13,Option 14,Image 14,Option 15,Image 15,Correct Answer
1,All of the following are forms of good posture EXCEPT...,MC,,,Eyes looking at the audience,,Shoulders down and back,,Feet flat on the floor,,Arms on the side,,,,,,,,,,,,,,,,,,,,,,,,1
2,What term refers to each part sounding unified as one voice?,MC,,,Interpretation,,Phrasing,,Balance,,Blend,,,,,,,,,,,,,,,,,,,,,,,,4
3,A sfortzando is basically the same as...,MC,,,An accent,,A marcato,,A crescendo,,A forte-piano followed by a crescendo,,,,,,,,,,,,,,,,,,,,,,,,4
4,"When inhaling before singing, where should air be targeted towards?",MC,,,The top of the lungs,,The bottom of the lungs,,The left lung,,The right lung,,,,,,,,,,,,,,,,,,,,,,,,2
5,"In terms of audience etiquitte, what is one major difference between sports games and concerts?",MC,,,"It is appropriate in sports games to talk, but not during concerts",,"It is appropriate to remove a crying child during sports games, but not during concerts",,"It is appropriate in concerts to talk, but not during sports games",,"It is appropriate to remove a crying child during concerts, but not during sports games",,,,,,,,,,,,,,,,,,,,,,,,1
6,"In the 2018-2019 school year, how many minutes before a chorus concert is report time?",MC,,,15,,30,,45,,60,,,,,,,,,,,,,,,,,,,,,,,,3
7,What type of exercise is not advised for singers?,MC,,,Running,,Swimming,,Heavy weight lifting,,Yoga,,,,,,,,,,,,,,,,,,,,,,,,3
8,Why is diction important when singing?,MC,,,So the audience can get on their phones ASAP,,So the audience can understand what the singers are saying,,So the audience can be driven out of the auditorium,,So the audience can chase vampires away,,,,,,,,,,,,,,,,,,,,,,,,2
9,Which of the following was a Broadway medley sung in the 2019 Choral Broadway Concert?,MC,,,The Lion King,,My Fair Lady,,Jekyll and Hyde,,Phantom of the Opera,,,,,,,,,,,,,,,,,,,,,,,,3
10,"In a barbershop quartet, which part usually has the melody?",MC,,,Highest part,,Second highest part,,Second lowest part,,Lowest part,,,,,,,,,,,,,,,,,,,,,,,,2
