Id,Question,Type,Image,Option 1,Image 1,Option 2,Image 2,Option 3,Image 3,Option 4,Image 4,Option 5,Image 5,Option 6,Image 6,Option 7,Image 7,Option 8,Image 8,Option 9,Image 9,Option 10,Image 10,Option 11,Image 11,Option 12,Image 12,Option 13,Image 13,Option 14,Image 14,Option 15,Image 15,Correct Answer
1,The idea of separation of powers originated from which Enlightenment thinker?,MC,,Montesquieu,,Jean Jacques Rousseau,,Thomas Hobbes,,John Locke,,Matthew Swanson,,,,,,,,,,,,,,,,,,,,,,1
2,Cooperative Federalism began largely during which time period?,MC,,1776-1800,,1800-1900,,1900-1950,,1950-2019,,2019-2765,,,,,,,,,,,,,,,,,,,,,,3
3,"A poll designed to influence, rather than record, public opinion is which type of poll?",MC,,Entrance Poll,,Exit Poll,,Tracking Poll,,Website Poll,,Push Poll,,,,,,,,,,,,,,,,,,,,,,5
4,Which type of primary is open only to party members?,MC,,Caucus Primary,,Closed Primary,,Open Primary,,Blanket Primary,,Runoff Primary,,,,,,,,,,,,,,,,,,,,,,2
5,Which of the following are interest group activities? Select two answers.,Checkboxes,,Lobby to Congress,,Protest,,Rule on Constitutionality of Laws,,Pass Legislation,,,,,,,,,,,,,,,,,,,,,,,,"1,2"
6,Who of the following is/are involved in the legislative process (for formal legislation)? Select all that apply.,Checkboxes,,Bureaucracy,,House Committee on Rules,,Congressional Subcomittees,,The President,,,,,,,,,,,,,,,,,,,,,,,,"2,3,4"
7,"One action, other than passing legislation, that Congress can take to limit the bureaucracy's power is...",MC,,Passing legislation,,Declaring regulations unconstitutional,,Issuing executive orders,,Holding hearings,,None of the above,,,,,,,,,,,,,,,,,,,,,,4
8,Which of the following courts has original jurisdiction in most federal matters?,MC,,State District Courts,,State Supreme Courts,,Federal District Courts,,Federal Circuit Courts,,The US Supreme Court,,,,,,,,,,,,,,,,,,,,,,3
9,Where is the right to privacy explicitly found in the Constitution?,MC,,Amendment I,,Amendment IV,,Amendment VI,,Amendment IX,,None of the above,,,,,,,,,,,,,,,,,,,,,,5
10,"In which foundational document is the quote ""Injustice anywhere is a threat to justice everywhere""?",MC,,Declaration of Independence,,Brutus No. 1,,Federalist No. 10,,Federalist No. 51,,Letter from a Birmingham Jail,,,,,,,,,,,,,,,,,,,,,,5
