Id,Question,Type,Image,Option 1,Image 1,Option 2,Image 2,Option 3,Image 3,Option 4,Image 4,Option 5,Image 5,Option 6,Image 6,Option 7,Image 7,Option 8,Image 8,Option 9,Image 9,Option 10,Image 10,Option 11,Image 11,Option 12,Image 12,Option 13,Image 13,Option 14,Image 14,Option 15,Image 15,Correct Answer
1,"Often times, when introducing a toxin at the lowest trophic level, it is the top-level carnivores that are the most negatively affected. This exhibits a phenomenon known as...",MC,,Biological magnification,,Bioremediation,,Biological augmentation,,Resource partitioning,,Trophic efficiency,,,,,,,,,,,,,,,,,,,,,,1
2,Which of the following would diffuse through a cell membrane (without going through a transport protein) most easily?,MC,,Small nonpolar molecule,,Large nonpolar molecule,,Small polar molecule,,Large polar molecule,,Small ion,,,,,,,,,,,,,,,,,,,,,,1
3,"Nucleotides are synthesized via dehydration synthesis, forming a(n) ______ between adjacent nucleotides.",MC,,glycosidic linkage,,peptide bond,,phosphodiester bond,,hydrolysis linkage,,hydrogen bond,,,,,,,,,,,,,,,,,,,,,,3
4,Which of the following is/are (a) function(s) of the smooth endoplasmic reticulum? Select all that apply.,Checkboxes,,Lipid Synthesis,,Detoxification,,Calcium Ion Storage,,Protein Synthesis,,,,,,,,,,,,,,,,,,,,,,,,"1,2,3"
5,What important function does lactic acid fermentation execute when oxygen is not available?,MC,,Oxygen is produced from breaking down pyruvate,,\(NADH\) is oxidized to \(NAD^+\),,It maintains an \(H^+\) proton gradient in the mitochondrion intermembrane space,,It maintains an \(H^+\) proton gradient within the thylakoid space,,\(ATP\) is produced from the breakdown of pyruvate into lactate,,,,,,,,,,,,,,,,,,,,,,2
6,In which phase of meiosis are pairs of homologous chromosomes lined up on the metaphase plate?,MC,,Prophase I,,Metaphase I,,Anaphase I,,Metaphase II,,Anaphase II,,,,,,,,,,,,,,,,,,,,,,2
7,"Kobonozom (I made up that word) is a rare, X-linked dominant disorder. A male with Kobonozom marries a female without Kobonozom. Which of the following will be true of their children? Select two options.",Checkboxes,,Each of their male children has a 50% chance of having Kobonozom,,None of their male children will have Kobonozom,,All of their female children will have Kobonozom,,None of their female children will have Kobonozom,,,,,,,,,,,,,,,,,,,,,,,,"2,3"
8,"Tryptophan, the product of a chemical reaction, can allosterically bind to a repressor protein, activating it and blocking transcription of an enzyme that catalyzes that reaction. Tryptophan, in this case, is a(n)...",MC,,Corepressor,,Inducer,,Transcription Factor,,Activator,,Enhancer,,,,,,,,,,,,,,,,,,,,,,1
9,"In the process of gel electrophoresis, after DNA fragments are put into the well, what happens?",MC,,The smaller fragments move toward the positive end; the larger fragments move toward the negative end,,The smaller fragments move toward the negative end; the larger fragments move toward the positive end,,All fragments move toward the positive end; the smaller fragments travel farther,,All fragments move toward the negative end; the larger fragments travel farther,,All fragments move toward the negative end; the smaller fragments travel farther,,,,,,,,,,,,,,,,,,,,,,3
10,A trait that shows complete dominance is studied in a population in Hardy-Weinberg equilibrium. 64% exhibit the dominant phenotype. What is the allele frequency of the dominant allele?,MC,,36%,,40%,,60%,,64%,,80%,,,,,,,,,,,,,,,,,,,,,,2
