Id,Question,Type,Image,Option 1,Image 1,Option 2,Image 2,Option 3,Image 3,Option 4,Image 4,Option 5,Image 5,Option 6,Image 6,Option 7,Image 7,Option 8,Image 8,Option 9,Image 9,Option 10,Image 10,Option 11,Image 11,Option 12,Image 12,Option 13,Image 13,Option 14,Image 14,Option 15,Image 15,Correct Answer
1,"""Speechless"" was a piece sung at which concert?",MC,,Winter Concert,,Elim Park Concert,,Spring Concert,,Memorial Day Stay At Home Performance,,,,,,,,,,,,,,,,,,,,,,,,2
2,"Which of the following notes is on a line on the Treble Clef, but not on a line on the Bass Clef (ledger lines don't count)?",MC,,E,,B,,F,,A,,,,,,,,,,,,,,,,,,,,,,,,1
3,"In the 2019-2020 school year, what is the report time before any concert?",MC,,6:45am-7:00am,,5:30pm-5:45pm,,6:15pm-6:30pm,,9:45pm-10:00pm,,,,,,,,,,,,,,,,,,,,,,,,3
4,Which muscle is used for breathing when singing?,MC,,Biceps,,Triceps,,Quadriceps,,Diaphragm,,,,,,,,,,,,,,,,,,,,,,,,4
5,"Typically, the tenor part of any piece is written on what clef?",MC,,Treble,,Alto,,Tenor,,Bass,,,,,,,,,,,,,,,,,,,,,,,,1
6,"Typically, in any piece, the part that the audience is listening for is the...",MC,,Melody,,Harmony,,Countermelody,,Bass Line,,,,,,,,,,,,,,,,,,,,,,,,1
7,What was the theme of the January 2020 Winter Concert?,MC,,Homeward Bound,,Hope,,Broadway,,Resolution,,,,,,,,,,,,,,,,,,,,,,,,2
8,Why is diction important when singing?,MC,,So the audience can understand what the singers are saying,,So the audience would get bored quickly,,So the audience would be driven from the auditorium,,So the audience would get on their phones ASAP,,,,,,,,,,,,,,,,,,,,,,,,1
9,What term refers to each part sounding unified as one voice?,MC,,Balance,,Blend,,Tone,,Diction,,,,,,,,,,,,,,,,,,,,,,,,2
10,What dynamic level is between mezzo piano (\(mp\)) and mezzo forte (\(mf\))?,MC,,mezzo (\(m\)),,piano (\(p\)),,forte (\(f\)),,No such dynamic level exists,,,,,,,,,,,,,,,,,,,,,,,,4
