Id,Question,Type,Preformatted,Image,Option 1,Image 1,Option 2,Image 2,Option 3,Image 3,Option 4,Image 4,Option 5,Image 5,Option 6,Image 6,Option 7,Image 7,Option 8,Image 8,Option 9,Image 9,Option 10,Image 10,Option 11,Image 11,Option 12,Image 12,Option 13,Image 13,Option 14,Image 14,Option 15,Image 15,Correct Answer
1,"If the dot product between two vectors is \(0\), then what is the angle between the two vectors?",MC,,,0,,\(\frac{\pi}{4}\),,\(\frac{\pi}{2}\),,\(\pi\),,,,,,,,,,,,,,,,,,,,,,,,3
2,"What is the shape of the graph of the following vector valued function?
\(\langle \cos{t}, \sin{t}, t \rangle\), \(- \infty < t < \infty\)",MC,,,an astroid,,a circle,,an ellipse,,a helix,,,,,,,,,,,,,,,,,,,,,,,,4
3,"What is the \(xy\) trace (cross section at \(z = 0\)) of the following surface? 
\(-x^2-y^2+z^2=1\)",MC,,,\(-x^2-y^2=1\),,\(y=x\) and \(y=-x\),,"The point \((0, 0, 0)\)",,No such trace exists.,,,,,,,,,,,,,,,,,,,,,,,,4
4,"You are driving on a level curve of a conical mountain, where the height of the mountain is defined as a function of \(x\) and \(y\). The direction of the gradient would be...",MC,,,along the path you are driving.,,tangent to the path you are driving.,,orthogonal to the path you are driving.,,directly upward.,,,,,,,,,,,,,,,,,,,,,,,,3
5,"Let \(f\) be a function of \(x\) and \(y\). Let \(D(x,y)=f_{xx}*f_{yy}-f_{xy}^2\). Which of the following would indicate that \(f\) is at a local maximum at the point \((x,y)\)?",MC,,,"\(D(x,y)<0\) and \(f_{xx}<0\)",,"\(D(x,y)<0\) and \(f_{xx}>0\)",,"\(D(x,y)>0\) and \(f_{xx}<0\)",,"\(D(x,y)>0\) and \(f_{xx}>0\)",,,,,,,,,,,,,,,,,,,,,,,,3
6,The equation \(z=x^2+y^2\) is an equation of which surface?,MC,,,Elliptic Paraboloid,,Hyperbolic Paraboloid,,Circular Cone,,Ellipsoid,,,,,,,,,,,,,,,,,,,,,,,,1
7,"Which of the following forms the basis for the use of Lagrange Multipliers to determine the minimum and maximum value of a function \(f(x,y,z)\) on a constraint surface \(g(x,y,z)=0\)?",MC,,,The curl of the gradients of both \(f\) and \(g\) are \(0\).,,The gradient of \(g\) is orthogonal to the level curve at that point.,,The dot product between the gradient of \(f\) and the gradient of \(g\) is \(0\).,,The gradient of \(f\) is parallel to the gradient of \(g\).,,,,,,,,,,,,,,,,,,,,,,,,4
8,"What is the double integral over the region \(R\) of \(10\), where \(R\) is the unit circle?",MC,,,\(\pi\),,\(5 \pi\),,\(10\),,\(10 \pi\),,,,,,,,,,,,,,,,,,,,,,,,4
9,"What is the cartesian point \((0, 1, 0)\) in spherical coordinates?",MC,,,"\((1, 0, \frac{\pi}{2})\)",,"\((1, \frac{\pi}{2}, 0)\)",,"\((1, \frac{\pi}{2}, \frac{\pi}{2})\)",,"\((0, \frac{\pi}{2}, 1)\)",,,,,,,,,,,,,,,,,,,,,,,,3
10,"The vector field \(\langle x, y, z \rangle\) is what type of field?",MC,,,Rotational,,Radial,,Channel,,Dome,,,,,,,,,,,,,,,,,,,,,,,,2
11,"Let \(F = \langle 3, 4, 5 \rangle\). What is the value of the scalar function \(f\), where \(F\) is the gradient of \(f\)?",MC,,,\(f = 60xyz+C\),,\(f = 60x+60y+60z+C\),,\(f = 3x+4y+5z+C\),,\(f = 12x+12y+12z+C\),,,,,,,,,,,,,,,,,,,,,,,,3
12,Let \(F\) be a vector field and \(f\) be a scalar function. All of the following would be either a valid scalar function or a valid vector field EXCEPT...,MC,,,the curl of the gradient of \(f\).,,the divergence of the curl of \(F\).,,the divergence of \(F\).,,the curl of \(f\).,,,,,,,,,,,,,,,,,,,,,,,,4
13,How would you parameterize a sphere with radius \(a\)?,MC,,,"\(r(u,v) = \langle a \cos{(u)} \sin{(v)}, a \sin{(u)} \cos{v}, a \cos{(u)} \rangle\)",,"\(r(u,v) = \langle a \sin{(u)} \cos{(v)}, a \sin{(u)} \sin{(v)}, a \cos{(u)} \rangle\)",,"\(r(u,v) = \langle a \cos{(u)} \sin{(v)}, a \sin{(u)} \cos{(v)}, a \cos{(v)} \rangle\)",,"\(r(u,v) = \langle a \sin{(u)} \cos{(v)}, a \sin{(u)} \sin{(v)}, a \cos{(v)} \rangle\)",,,,,,,,,,,,,,,,,,,,,,,,2
14,"Let \(F\) equal a vector field in terms of \(x\), \(y\), and \(z\). The flux integral of the curl of \(F\) over an open surface is equivalent to the flux integral of the curl of \(F\) over another open surface with the same boundary and orientation. This statement is true based on...",MC,,,the Fundamental Theorem of Line Integrals.,,Green's Theorem.,,Stokes' Theorem.,,the Divergence Theorem.,,,,,,,,,,,,,,,,,,,,,,,,3
15,"Let \(F = \langle x, y, z \rangle\). What is the flux of \(F\) over the closed cube with \(0 \leq x \leq 1\), \(0 \leq y \leq 1\), and \(0 \leq z \leq 1\).",MC,,,-1,,0,,1,,3,,,,,,,,,,,,,,,,,,,,,,,,4
