Id,Question,Type,Preformatted,Image,Option 1,Image 1,Option 2,Image 2,Option 3,Image 3,Option 4,Image 4,Option 5,Image 5,Option 6,Image 6,Option 7,Image 7,Option 8,Image 8,Option 9,Image 9,Option 10,Image 10,Option 11,Image 11,Option 12,Image 12,Option 13,Image 13,Option 14,Image 14,Option 15,Image 15,Correct Answer
1,"When analyzing research, all of the following are critical thinking ""red flags"" that would decrease the credibility of the research EXCEPT...",MC,,,jumping to conclusions.,,a conflict of interest.,,a statement of caveats.,,misleading data depiction.,,,,,,,,,,,,,,,,,,,,,,,,3
2,The Basic Dilemma of the Social Psychologist involves...,MC,,,the trade-off between effective research design and minimizing research costs.,,the decision on whether to make internal or external attributions based on people's actions.,,the trade-off between effective research design and meeting ethical standards.,,the trade-off between internal and external validity in research design.,,,,,,,,,,,,,,,,,,,,,,,,4
3,Susan walks by when Alice suddenly starts choking on a carrot. All of the following are potential barriers that may prevent Susan from helping Alice EXCEPT...,MC,,,Susan does not hold any religious beliefs.,,Susan and Alice are of different ethnic backgrounds.,,"Other people are present, and they're not doing anything about it.",,Susan does not remember how to help someone who is choking.,,,,,,,,,,,,,,,,,,,,,,,,1
4,Which of the following is an example of controlled thinking?,MC,,,The availability heuristic,,The representativeness heuristic,,Base rate information,,Counterfactual Thinking,,,,,,,,,,,,,,,,,,,,,,,,4
5,"Your friend John is constantly being yelled at by his history teacher Mr. Fleming. But you notice that no other teacher ever yells at John, and Mr. Fleming yells at all other students equally as much. What kind of attribution would you make about Mr. Fleming and why?",MC,,,Internal attribution because consensus and distinctiveness are low,,Internal attribution because consensus and distinctiveness are high,,External attribution because consensus and distinctiveness are low,,External attribution because consensus and distinctiveness are high,,,,,,,,,,,,,,,,,,,,,,,,1
6,Which of the following is a true statement about psychology in law?,MC,,,The testimony of a confident eyewitness is the most reliable evidence in court.,,"A slow, thoughtful response when identifying suspects from a lineup is typically more accurate than a quick response.",,"When presenting to a jury, it is in the lawyer's best interest to present evidence in chronological order as opposed to order of importance.",,A confession to a crime indicates guilt without a doubt.,,,,,,,,,,,,,,,,,,,,,,,,3
7,"Derek got a 74 on his math test, but he doesn't feel bad about it because his friend John got a 66. Derek is exercising...",MC,,,a fixed mindset.,,a growth mindset.,,upward social comparison.,,downward social comparison.,,,,,,,,,,,,,,,,,,,,,,,,4
8,"There are three fraternities at the University of College State. One requires no initiation to join, one requires a mild initiation, and one requires a severe initiation. The members of which fraternity would feel the closest together?",MC,,,The fraternity with no initiation,,The fraternity with a mild initiation,,The fraternity with a severe initiation,,There would be no significant difference between the fraternities,,,,,,,,,,,,,,,,,,,,,,,,3
9,"If fear is used for persuasion, which of the following is essential?",MC,,,A large amount of fear is introduced.,,A moderate amount of fear is introduced.,,The message teaches the ability to reduce that fear.,,Both the second and third option are necessary.,,,,,,,,,,,,,,,,,,,,,,,,4
10,"In Stanley Milgram's obedience study, participants were asked to incrementally increase the shock level of their ""learners"" by 15 Volts each time. The incremental nature of increasing the shock level is an example of...",MC,,,informational social influence.,,normative social influence.,,the foot-in-the-door technique.,,the door-in-the-face technique.,,,,,,,,,,,,,,,,,,,,,,,,3
11,The comments section of certain videos often contains sentences that the commenter would never say to anyone face-to-face. This is an example of...,MC,,,social facilitation.,,social loafing.,,deindividuation.,,groupthink.,,,,,,,,,,,,,,,,,,,,,,,,3
12,Across cultures and across species...,MC,,,older individuals tend to be more aggressive than younger individuals.,,male individuals tend to be more aggressive than female individuals.,,heterosexual individuals tend to be more aggressive than homosexual individuals.,,All of the above,,,,,,,,,,,,,,,,,,,,,,,,2
13,All of the following are predictors of attraction to someone EXCEPT...,MC,,,similarity.,,complementarity.,,reciprocal liking.,,familiarity.,,,,,,,,,,,,,,,,,,,,,,,,2
14,Which of the following would be the MOST effective in reducing prejudice between two groups?,MC,,,Explaining to each group positive characteristics of the other group.,,Having both groups attend a party together.,,Having the two groups compete in a game of dodgeball.,,Having the two groups work together to resolve a crisis affecting both of them.,,,,,,,,,,,,,,,,,,,,,,,,4
15,"Based on Robert Sternberg's triangular theory of love, the presence of intimacy and commitment but the absence of passion results in what kind of love?",MC,,,Romantic Love,,Companionate Love,,Fatuous Love,,Consummate Love,,,,,,,,,,,,,,,,,,,,,,,,2
