Id,Question,Type,Preformatted,Image,Option 1,Image 1,Option 2,Image 2,Option 3,Image 3,Option 4,Image 4,Option 5,Image 5,Option 6,Image 6,Option 7,Image 7,Option 8,Image 8,Option 9,Image 9,Option 10,Image 10,Option 11,Image 11,Option 12,Image 12,Option 13,Image 13,Option 14,Image 14,Option 15,Image 15,Correct Answer
1,What is the voltage between point \(A\) and point \(B\)?,MC,,,The amount of electrical charge that flows from \(A\) to \(B\) per unit time.,,The amount of electrical charge that flows from \(B\) to \(A\) per unit time.,,The amount of energy gained by a unit charge that moves from \(A\) to \(B\).,,The amount of energy gained by a unit charge that moves from \(B\) to \(A\).,,,,,,,,,,,,,,,,,,,,,,,,4
2,A current source (\(12\) \(A\)) supplies power to \(2\) resistors connected in parallel. \(R_1\) is \(1\) \(\Omega\) and \(R_2\) is \(3\) \(\Omega\). What is the current that flows through \(R_1\)?,MC,,,\(3\) \(A\),,\(4\) \(A\),,\(9\) \(A\),,\(12\) \(A\),,,,,,,,,,,,,,,,,,,,,,,,3
3,A Thevenin equivalent circuit represents a circuit as...,MC,,,a current source connected in series with a resistor.,,a current source connected in parallel with a resistor.,,a voltage source connected in series with a resistor.,,a voltage source connected in parallel with a resistor.,,,,,,,,,,,,,,,,,,,,,,,,3
4,"A \(12\) \(V\) source supplies power to a \(3\) \(\Omega\) resistor connected in series with an inductor with an inductance of \(1\) \(H\). Under steady state conditions, what is the voltage difference across the resistor?",MC,,,\(0\) \(V\),,\(4\) \(V\),,\(9\) \(V\),,\(12\) \(V\),,,,,,,,,,,,,,,,,,,,,,,,4
5,The cell membrane is most similar to what circuit element?,MC,,,Resistors,,Capacitors,,Inductors,,Operational Amplifiers,,,,,,,,,,,,,,,,,,,,,,,,2
6,"Suppose that \(x\) represented a quantity measured in \(m\). Let \(\delta\) represent the Dirac delta ""function."" \(\delta(x)\) would have what unit?",MC,,,\(m^{-1}\),,\(m\),,\(m^2\),,(dimensionless),,,,,,,,,,,,,,,,,,,,,,,,1
7,"In second order circuits (two energy storing elements), the amount of damping affects behavior. In the critically damped case (where damping coefficient (\(\alpha\)) equals undamped resonant frequency (\(\omega_0\))), the solutions of the characteristic equation (\(s_1\) and \(s_2\)) are...",MC,,,both real and positive.,,both zero.,,both real and negative.,,both nonreal.,,,,,,,,,,,,,,,,,,,,,,,,3
8,"For an AC circuit, the current through a capacitor _____ the voltage difference across that capacitor by \(90^{\circ}\), and the capacitor's impedance can be calculated by _____.
<i>(\(z_C\) = impedance, \(\omega\) = frequency, \(C\) = capacitance)</i>",MC,,,"lags, \(z_C = j \omega C\)",,"lags, \(z_C = \frac{1}{j \omega C}\)",,"leads, \(z_C = j \omega C\)",,"leads, \(z_C = \frac{1}{j \omega C}\)",,,,,,,,,,,,,,,,,,,,,,,,4
9,"The voltage across a circuit element is \(20\) \(V\) with a phase of \(60^{\circ}\), and a current of \(10\) \(A\) with a phase of \(30^{\circ}\) flows through that element. What is the impedance of the circuit element?",MC,,,\(2\) \(\Omega\) with a phase of \(2^{\circ}\),,\(2\) \(\Omega\) with a phase of \(30^{\circ}\),,\(200\) \(\Omega\) with a phase of \(0^{\circ}\),,\(200\) \(\Omega\) with a phase of \(90^{\circ}\),,,,,,,,,,,,,,,,,,,,,,,,2
10,The power factor seen by a circuit element is \(0.5\) leading. What is the power angle (\(\theta_v - \theta_i\))?,MC,,,\(-60^{\circ}\),,\(-30^{\circ}\),,\(30^{\circ}\),,\(60^{\circ}\),,,,,,,,,,,,,,,,,,,,,,,,1
11,"Suppose that for a given circuit, the Thevenin equivalent voltage is \(30\) \(V\) with a phase of \(0^{\circ}\), and the Thevenin impedance is \((3+j4)\) \(\Omega\). What load resistance (for a resistor connected to the terminals) will absorb the maximum average power?",MC,,,\(3\) \(\Omega\),,\(5\) \(\Omega\),,\((3+j4)\) \(\Omega\),,\((3-j4)\) \(\Omega\),,,,,,,,,,,,,,,,,,,,,,,,2
12,The Fourier Series represents any _____ function as an infinite sum of sinusoidal functions.,MC,,,periodic,,polynomial,,continuous,,differentiable,,,,,,,,,,,,,,,,,,,,,,,,1
13,"Consider the circuit depicted below. This is an example of a(n) _____ filter, and has a transfer function magnitude of \(0\) \(dB\) at _____ frequencies.",MC,,Quiz 5 Notes 12.PNG,"lowpass, low",,"lowpass, high",,"highpass, low",,"highpass, high",,,,,,,,,,,,,,,,,,,,,,,,4
14,What type of operational amplifier circuit has a voltage gain of \(1+\frac{R_2}{R_1}\)?,MC,,,Comparator,,Inverting Amplifier,,Non Inverting Amplifier,,Voltage Follower,,,,,,,,,,,,,,,,,,,,,,,,3
15,Which of the following circuits is an integrator amplifier?,MC,,,a,Quiz Post5 Notes 3.PNG,b,Quiz Post5 Notes 7.PNG,c,Quiz Post5 Notes 2.PNG,d,Quiz Post5 Notes 1.PNG,,,,,,,,,,,,,,,,,,,,,,,1
