Id,Question,Type,Preformatted,Image,Option 1,Image 1,Option 2,Image 2,Option 3,Image 3,Option 4,Image 4,Option 5,Image 5,Option 6,Image 6,Option 7,Image 7,Option 8,Image 8,Option 9,Image 9,Option 10,Image 10,Option 11,Image 11,Option 12,Image 12,Option 13,Image 13,Option 14,Image 14,Option 15,Image 15,Correct Answer
1,"Although it is important as a teacher to develop personal connections with students, there is a ""professional barrier"" that should not be crossed. Which of the following would be a violation of such a barrier?",MC,,,Listening and responding to the personal problems of students,,Talking about one's own personal problems,,Going to a student's outside-of-class events such as sports games,,All of the above,,,,,,,,,,,,,,,,,,,,,,,,2
2,"Waltham High School incorporates a block called the ""HAWK Block"" in their schedule. What is one purpose of the HAWK block?",MC,,,Provide the opportunity for students to get extra help from teachers,,Give students time to socialize with each other,,Provide the opportunity for students to communicate directly with administrators,,Give time for teachers to meet with their departments for curriculum planning,,,,,,,,,,,,,,,,,,,,,,,,1
3,"In Gerald Grant's book <i>The World We Created at Hamilton High</i>, he describes a ""second transformation"" between 1980 and 1985. Such a transformation was partially driven by the enrollment of _____ in the school.",MC,,,Black students,,White students,,disabled students,,female students,,,,,,,,,,,,,,,,,,,,,,,,3
4,"According to Gerald Grant, what should be the role of the ""central authorities"" (superintendent, etc.) in school curricula and programs?",MC,,,Central authorities should have full control over school curricula.,,"Central authorities should control the curricula of core classes, whereas the schools themselves should control the curricula of electives.",,Central authorities should establish general goals but schools should have full control over the means of reaching these goals.,,Central authorities should not play any role in school curricula.,,,,,,,,,,,,,,,,,,,,,,,,3
5,"What is ""Horace's Compromise"" as described in Theodore Sizer's book <i>Horace's Compromise</i>?",MC,,,The need to sacrifice test standardization by providing accommodations for certain individuals.,,The need to sacrifice quality in teaching due to time constraints.,,The need to sacrifice objectivity in grading for more personalized feedback.,,The need to sacrifice resources from more advanced students to put more resources towards lower-level students.,,,,,,,,,,,,,,,,,,,,,,,,2
6,All of the following are statements that Theodore Sizer would agree with EXCEPT...,MC,,,It is important for students to take ownership of their learning.,,"Teachers should meet students ""where they are at,"" even if that is behind the grade level that they are expected to teach.",,It is essential that teachers finish covering the content of their subject areas.,,Good character is an important aspect of a student's education.,,,,,,,,,,,,,,,,,,,,,,,,3
7,"According to Theodore Sizer, there are three ""essential skills"" that students should learn when in school. Which of the following is NOT one of them?",MC,,,Literacy,,Numeracy,,Data-Driven Decision-Making,,Civic Understanding,,,,,,,,,,,,,,,,,,,,,,,,3
8,"In <i>Ghosts in the Schoolyard</i> by Eve Ewing, the Chicago Public Schools district closed down many schools in predominantly Black neighborhoods of Chicago with the justification that those schools were underutilized and _____.",MC,,,underresourced,,racist,,poorly maintained,,dull,,,,,,,,,,,,,,,,,,,,,,,,1
9,"In <i>The Hardest Questions Aren't on the Test</i> by Linda Nathan, the staff at Boston Arts Academy rejected a list of shared values determined from a project at Harvard University. Why?",MC,,,The results of the project were not reproducible.,,Those values were not applicable to an arts school.,,Many of those values were religious values and thus controversial.,,The staff lacked ownership of those values.,,,,,,,,,,,,,,,,,,,,,,,,4
10,Which of the following is a true statement regarding the possibility of a student attending a public high school in another neighborhood?,MC,,,This is allowed only if the student's parent teaches at that high school.,,This is allowed only if the student's family pays that high school tuition.,,This is allowed only if the student was expelled from the high school in their own neighborhood.,,This is never allowed under any circumstances.,,,,,,,,,,,,,,,,,,,,,,,,2
11,Studies have shown that the COVID-19 pandemic has had a(n) _____ impact on students' education.,MC,,,positive,,negative,,neutral,,There is not enough evidence to make any conclusions.,,,,,,,,,,,,,,,,,,,,,,,,2
12,"What is one major flaw in ""teacher-proof"" curricula?",MC,,,It assumes that every school's circumstances are the same.,,It doesn't adequately correct for unprofessional teacher behavior.,,It relies too heavily on correlational trends without considering causality.,,It does not take the emotional well-being of students into account.,,,,,,,,,,,,,,,,,,,,,,,,1
13,"Historically, the Groton School has pushed the idea of ""muscular Christianity."" What does that mean?",MC,,,One's behavior should strictly follow Christian ideals.,,One should study hard to strengthen their mind.,,One should be physically fit to do God's work.,,One should not obey orders without a second thought.,,,,,,,,,,,,,,,,,,,,,,,,3
14,Which statement accurately describes Sudbury Valley School?,MC,,,Students are evaluated based on their performance in exhibitions and not based any tests or exams.,,A major strength of Sudbury Valley School is its engineering program.,,Religious services are built in to the program at Sudbury Valley School.,,Students are free to learn (or not learn) whatever they want.,,,,,,,,,,,,,,,,,,,,,,,,4
15,"According to Steve Cohen, there are two main ways to drastically increase average student test scores in a short period of time. One is to ensure that students who are likely to score low don't take the test. What is the other?",MC,,,Fire teachers of students who have historically scored the lowest,,Increase the length of the school day,,Dedicate a week of class time towards test prep,,Have teachers correct student answers before submitting the test,,,,,,,,,,,,,,,,,,,,,,,,4
