Id,Question,Type,Image,Option 1,Image 1,Option 2,Image 2,Option 3,Image 3,Option 4,Image 4,Option 5,Image 5,Option 6,Image 6,Option 7,Image 7,Option 8,Image 8,Option 9,Image 9,Option 10,Image 10,Option 11,Image 11,Option 12,Image 12,Option 13,Image 13,Option 14,Image 14,Option 15,Image 15,Correct Answer
1,All of the following are confidential resources at Tufts EXCEPT...,MC,,CMHS,,ORLL,,CARE,,The chaplaincy,,,,,,,,,,,,,,,,,,,,,,,,2
2,"When an RA is on duty, they should always be in an area where they can respond within...",MC,,5 minutes,,10 minutes,,30 minutes,,2 hours,,,,,,,,,,,,,,,,,,,,,,,,2
3,"If an RA discovers alcohol and/or drinking games happening in a room or suite and at least one person is under 21, who gets written up?",MC,,The host(s) of the room or suite,,Only the individuals under 21,,Both the first option and second option,,Everyone in the room,,,,,,,,,,,,,,,,,,,,,,,,4
4,What is Tufts's policy on marijuana and why?,MC,,Legal; it's allowed in the state of Massachusetts,,Legal; Tufts feels strongly about legalization and can override laws,,Illegal; Tufts receives money from the state and must abide by laws,,Illegal; Tufts receives money from the federal government and must abide by laws,,,,,,,,,,,,,,,,,,,,,,,,4
5,All of the following are NOT allowed in dorm rooms EXCEPT...,MC,,bean bags.,,vacuum cleaners.,,chairs from the common room.,,space heaters.,,,,,,,,,,,,,,,,,,,,,,,,2
6,Which of the following is most accurate regarding bias incidents?,MC,,Reporting bias incidents is not necessary for RAs; it is OEO's job to discover and handle them.,,Reporting bias incidents is expected of RAs but will not lead to significant consequences if not done.,,Reporting bias incidents is an essential part of the RA position and will result in immediate termination if not done.,,Reporting bias incidents is necessary under law and will result in legal problems if this is not done.,,,,,,,,,,,,,,,,,,,,,,,,4
7,"If you believe that someone is having suicidal thoughts, what is the best question to ask?",MC,,"""Are you thinking about harming or killing yourself?""",,"""Is there anything you need from me?""",,"""You aren't having suicidal thoughts, are you?""",,"""How are you doing?""",,,,,,,,,,,,,,,,,,,,,,,,1
8,"If an RA is on duty and comes across a situation they don't know how to handle, what is the best way to proceed?",MC,,Try to handle the situation the best they can,,Call up to the RLC on duty,,Document in an information/incident report and allow central staff to handle it the next morning,,Flee the scene,,,,,,,,,,,,,,,,,,,,,,,,2
9,All of the following are appropriate for writing information/incident reports EXCEPT...,MC,,"noting the date, time, and location of the incident.",,referring to oneself in third person.,,incorporating one's own opinion/judgment in the report.,,All of the above are appropriate for information/incident reports.,,,,,,,,,,,,,,,,,,,,,,,,3
10,"When registering an event on Jumbolife, what is the number one reason why a program proposal gets turned down?",MC,,Inappropriate content,,Intent to show copyrighted material,,Policy violations in the event,,Having text/logos in the submitted cover image,,,,,,,,,,,,,,,,,,,,,,,,4
11,"During the process of group formation for housing selection, what lottery number is used for each group?",MC,,The best individual lottery number within the group,,The worst individual lottery number within the group,,The average lottery number of all individuals within the group,,The median lottery number of all individuals within the group,,,,,,,,,,,,,,,,,,,,,,,,1
12,"If a parent of a resident approaches a Resident Assistant asking for where their child lives, what is the most appropriate response by the Resident Assistant?
<i>Assume that the resident lives in Carm 611.</i>",MC,,"""They're in room 611. I'll walk you there?""",,"""Room 611. Go up these stairs to the sixth floor and take a right.""",,"""Sorry, I actually can't tell you because of FERPA.""",,"""Sorry, parents are not allowed on campus. I'm going to have to contact TUPD.""",,,,,,,,,,,,,,,,,,,,,,,,3
13,All of the following are true regarding the RA position EXCEPT...,MC,,It is important for RAs to create opportunities for connection with residents even when rejected.,,It is important to document policy violations to ensure a safe community.,,RAs are expected to know the answer to every question a resident asks about campus resources.,,All of the above are true regarding the RA position.,,,,,,,,,,,,,,,,,,,,,,,,3
14,"A program that involves handing out ""grab and go"" goodie bags to residents would be classified as a(n)...",MC,,active program.,,passive program.,,recurring program.,,service program.,,,,,,,,,,,,,,,,,,,,,,,,2
