Id,Question,Type,Preformatted,Image,Option 1,Image 1,Option 2,Image 2,Option 3,Image 3,Option 4,Image 4,Option 5,Image 5,Option 6,Image 6,Option 7,Image 7,Option 8,Image 8,Option 9,Image 9,Option 10,Image 10,Option 11,Image 11,Option 12,Image 12,Option 13,Image 13,Option 14,Image 14,Option 15,Image 15,Correct Answer
1,What are the four basics of singing?,MC,,,"Posture, Breath, Tone, Diction",,"Music, Sound, Light, Food",,"Sound, Expression, Notes, Rhythm",,"Drum Major, Pit, Winds, Battery",,,,,,,,,,,,,,,,,,,,,,,,1
2,Why is diction important?,MC,,,So the audience can get on their phones ASAP,,So the audience can be driven out of the auditorium,,So the audience can understand what the singers are saying,,So the audience can get bored quickly,,,,,,,,,,,,,,,,,,,,,,,,3
3,"While singing, to have good posture, hands should be...",MC,,,On the sides,,Crossed,,Raised high,,Leaning on the person next to you,,,,,,,,,,,,,,,,,,,,,,,,1
4,An octavo is...,MC,,,any piece of music.,,any piece of choral music.,,any piece of music with eight parts.,,a concave octagon.,,,,,,,,,,,,,,,,,,,,,,,,2
5,"""Mezzo forte"" is abbreviated with a...",MC,,,\(f\),,\(mf\),,\(mp\),,\(mzf\),,,,,,,,,,,,,,,,,,,,,,,,2
6,Accelerando means to...,MC,,,Gradually get faster,,Suddenly get faster,,Gradually get slower,,Suddenly get slower,,,,,,,,,,,,,,,,,,,,,,,,1
7,A fermata means to hold the note until...,MC,,,Everyone is out of breath,,Someone gets out of tune,,Someone's head cracks open,,The conductor cuts off,,,,,,,,,,,,,,,,,,,,,,,,4
8,What is good intonation?,MC,,,Singing a note too sharp,,Singing a note too flat,,Singing a pitch ON THE BULL'S EYE,,Singing the wrong note,,,,,,,,,,,,,,,,,,,,,,,,3
9,"In the 2016-2017 school year, with the exception of the rock concert, the report time before any chorus concert is at... ",MC,,,5:45pm,,6:15pm,,6:30pm,,6:45pm,,,,,,,,,,,,,,,,,,,,,,,,4
10,"In the 2016-2017 school year, with the exception of the rock concert, what day of the week are chorus concerts on?",MC,,,Tuesdays,,Thursdays,,Saturdays,,January,,,,,,,,,,,,,,,,,,,,,,,,1
