Id,Question,Type,Preformatted,Image,Option 1,Image 1,Option 2,Image 2,Option 3,Image 3,Option 4,Image 4,Option 5,Image 5,Option 6,Image 6,Option 7,Image 7,Option 8,Image 8,Option 9,Image 9,Option 10,Image 10,Option 11,Image 11,Option 12,Image 12,Option 13,Image 13,Option 14,Image 14,Option 15,Image 15,Correct Answer
1,Who saves Jem from dying at the end of <i>To Kill A Mockingbird</i> by Harper Lee?,MC,,,Atticus Finch,,Arthur Radley,,Jean Louise Finch,,Cecil Jacobs,,,,,,,,,,,,,,,,,,,,,,,,2
2,Who wins the court case in <i>To Kill A Mockingbird</i>?,MC,,,Atticus Finch,,Tom Robinson,,Jean Louise Finch,,Bob Ewell,,,,,,,,,,,,,,,,,,,,,,,,4
3,What were people at school calling Atticus in <i>To Kill A Mockingbird</i>?,MC,,,"A ""big wet hen.""",,"Scout's ""irresponsible father.""",,"A ""n----- lover.""",,"The ""coolest guy out there.""",,,,,,,,,,,,,,,,,,,,,,,,3
4,"In the short story ""Lady or the Tiger,"" the king was labelled as...",MC,,,Kind,,Semibarbaric,,Cruel,,Insane,,,,,,,,,,,,,,,,,,,,,,,,2
5,"Who wins the race in the short story ""Seabiscuit""?",MC,,,Rosemont,,Seabiscuit,,Special Agent,,Oceanbiscuit,,,,,,,,,,,,,,,,,,,,,,,,1
6,"In the end of <i>A Midsummer Night's Dream</i> by William Shakespeare, who does Lysander marry?",MC,,,Helena,,Hermia,,Egeus,,Demetrius,,,,,,,,,,,,,,,,,,,,,,,,2
7,Who does Titania fall in love with under the potion in <i>A Midsummer Night's Dream</i>?,MC,,,Lysander,,Demetrius,,Oberon,,Nick Bottom,,,,,,,,,,,,,,,,,,,,,,,,4
8,"In <i>Lord of the Flies</i> by William Golding, how did the boys wind up on the island?",MC,,,They teleported,,A shipwreck,,A plane crash,,A fierce hurricane,,,,,,,,,,,,,,,,,,,,,,,,3
9,What was Jack so obsessed with in <i>Lord of the Flies</i>?,MC,,,Shelters,,Fire,,Hunting,,The Beast,,,,,,,,,,,,,,,,,,,,,,,,3
10,Which character died in <i>Lord of the Flies</i>?,MC,,,Jack,,Ralph,,Piggy,,Roger,,,,,,,,,,,,,,,,,,,,,,,,3
