Id,Question,Type,Preformatted,Image,Option 1,Image 1,Option 2,Image 2,Option 3,Image 3,Option 4,Image 4,Option 5,Image 5,Option 6,Image 6,Option 7,Image 7,Option 8,Image 8,Option 9,Image 9,Option 10,Image 10,Option 11,Image 11,Option 12,Image 12,Option 13,Image 13,Option 14,Image 14,Option 15,Image 15,Correct Answer
1,The magnetic needle on a compass always points...,MC,,,North,,South,,East,,West,,,,,,,,,,,,,,,,,,,,,,,,1
2,"During the push up test (fitness test), each push up should be about...",MC,,,10 degrees,,45 degrees,,90 degrees,,120 degrees,,,,,,,,,,,,,,,,,,,,,,,,3
3,Which of the following would be a violation of the rules of swatball?,MC,,,Blocking an attempted score,,Holding the ball and running,,Hitting the ball,,Swatting the ball towards the goal,,,,,,,,,,,,,,,,,,,,,,,,2
4,"The ""double bounce rule"" in pickleball refers to the fact that...",MC,,,"After the serve, the ball must bounce twice (once on either side) before it can be volleyed.",,"After the ball bounces twice, it is considered a fault.",,"As long as the ball bounces twice on the net, it doesn't have to go over the net to score.",,A ball can bounce on the heads of two people before it can no longer bounce on the head of a person.,,,,,,,,,,,,,,,,,,,,,,,,1
5,How many players are on a team in handball?,MC,,,4,,7,,11,,15,,,,,,,,,,,,,,,,,,,,,,,,2
6,Rally scoring (in volleyball) means that...,MC,,,Only the serving team may score,,Only the receiving team may score,,No one is ever allowed to score,,Someone scores every round,,,,,,,,,,,,,,,,,,,,,,,,4
7,"When catching a ball in lacrosse, it is important to...",MC,,,Have the catcher higher up than where you think the ball is going to go,,Have the catcher lower than where you think the ball is going to go,,Push the stick forward when catching,,Pull the stick back when catching,,,,,,,,,,,,,,,,,,,,,,,,4
8,A score of one below par in golf is called a...,MC,,,Double Bogey,,Bogey,,Birdie,,Eagle,,,,,,,,,,,,,,,,,,,,,,,,3
9,"In tennis, when both teams are tied at 40-40, it is called...",MC,,,Game,,Deuce,,Advantage In,,Advantage Out,,,,,,,,,,,,,,,,,,,,,,,,2
10,"In PE class, the grade you get if you show up prepared is...",MC,,,85%,,94%,,97%,,100%,,,,,,,,,,,,,,,,,,,,,,,,2
