Id,Question,Type,Preformatted,Image,Option 1,Image 1,Option 2,Image 2,Option 3,Image 3,Option 4,Image 4,Option 5,Image 5,Option 6,Image 6,Option 7,Image 7,Option 8,Image 8,Option 9,Image 9,Option 10,Image 10,Option 11,Image 11,Option 12,Image 12,Option 13,Image 13,Option 14,Image 14,Option 15,Image 15,Correct Answer
1,"During the chasse portion of the winds dance warmup, your hands should be...",MC,,,Covering your eyes,,On top of your head,,On your hips,,Underneath your feet,,,,,,,,,,,,,,,,,,,,,,,,3
2,The only 100% effective way to fix a tempo issue is to...,MC,,,"Always watch, never listen",,"Always listen, never watch",,Stay where you are and stop moving,,Not let a tempo issue happen in the first place,,,,,,,,,,,,,,,,,,,,,,,,4
3,"In cold temperatures, wind instruments tend to be...",MC,,,Self aware,,Flat,,Sharp,,Loud,,,,,,,,,,,,,,,,,,,,,,,,2
4,"What instrument has a solo at letter M of ""When the Clock Strikes 12?""",MC,,,Trumpet,,Mellophone,,Alto Saxophone,,Baritone Saxophone,,,,,,,,,,,,,,,,,,,,,,,,4
5,"When a wire connecting pit (front ensemble) equipment is in front of you, and it is not practical to walk around it, one should step _____ the wire.",MC,,,over,,under,,through,,All of the above,,,,,,,,,,,,,,,,,,,,,,,,1
6,"What 4/4 conducting pattern has no rebounds on beats 1 and 3, has only rebounds on beats 2 and 4, and is good for cruise control?",MC,,,Legato,,Stop Motion,,Thump,,Down-Angle,,,,,,,,,,,,,,,,,,,,,,,,3
7,All of the following are considered guard equipment EXCEPT...,MC,,,Xylophones,,Rifles,,Sabres,,Flags,,,,,,,,,,,,,,,,,,,,,,,,1
8,"Which instrument plays the first note in the ""Power Chords"" exercise?",MC,,,Tubas,,Trumpets,,Alto Saxophones,,Flutes,,,,,,,,,,,,,,,,,,,,,,,,1
9,Who is the ultimate timekeeper of the marching band?,MC,,,The Tubas,,The Battery/Drumline,,The Front Ensemble/Pit,,The Guard,,,,,,,,,,,,,,,,,,,,,,,,2
10,"How many counts are there in the entirety of ""When the Clock Strikes 12,"" from the tick-tocks to the end of the tag?",MC,,,987,,1025,,1361,,1447,,,,,,,,,,,,,,,,,,,,,,,,2
