Id,Question,Type,Preformatted,Image,Option 1,Image 1,Option 2,Image 2,Option 3,Image 3,Option 4,Image 4,Option 5,Image 5,Option 6,Image 6,Option 7,Image 7,Option 8,Image 8,Option 9,Image 9,Option 10,Image 10,Option 11,Image 11,Option 12,Image 12,Option 13,Image 13,Option 14,Image 14,Option 15,Image 15,Correct Answer
1,Which of the following is the only research method that can support a causal relationship between two variables?,MC,,,Case Study,,Naturalistic Observation,,Survey,,Correlational Study,,Experiment,,,,,,,,,,,,,,,,,,,,,,5
2,Bob just moved to a new town. He has trouble remembering his new address because his old address still comes to mind. This is an example of...,MC,,,Retrograde Amnesia,,Anterograde Amnesia,,Retroactive Interference,,Proactive Interference,,Negative Reinforcement,,,,,,,,,,,,,,,,,,,,,,4
3,"Broca's area, important for speaking, is located in which lobe?",MC,,,Left Frontal Lobe,,Left Parietal Lobe,,Left Temporal Lobe,,Right Frontal Lobe,,Right Temporal Lobe,,,,,,,,,,,,,,,,,,,,,,1
4,Different amplitudes of _____ waves are perceived as differing levels of _____. Select two options.,Checkboxes,,,"light, brightness",,"light, loudness",,"sound, brightness",,"sound, loudness",,,,,,,,,,,,,,,,,,,,,,,,"1,4"
5,Classical conditioning is most effective when the neutral stimulus occurs _____ the unconditioned stimulus.,MC,,,A long time before,,Immediately before,,At the same time as,,Immediately after,,A long time after,,,,,,,,,,,,,,,,,,,,,,2
6,"According to the Yerkes-Dodson law of arousal, a _____ level of arousal is preferable on easy tasks, while a _____ level of arousal is preferable on difficult tasks.",MC,,,"lower, lower",,"lower, higher",,"higher, lower",,"higher, higher",,None of the above,,,,,,,,,,,,,,,,,,,,,,3
7,Which of the following psychologists is/are correctly matched with the area of development that they studied? Select all that apply.,Checkboxes,,,Jean Piaget - Cognitive Development,,Erik Erikson - Psychosocial Development,,Sigmund Freud - Psychosexual Development,,Lawrence Kohlberg - Moral Development,,,,,,,,,,,,,,,,,,,,,,,,"1,2,3,4"
8,Someone who is always willing to explore and try new things would score high on which Big Five personality trait?,MC,,,Conscientiousness,,Agreeableness,,Neuroticism,,Openness,,Extraversion,,,,,,,,,,,,,,,,,,,,,,4
9,What percentage of WAIS test-takers would score within one standard deviation from the mean (85-115)?,MC,,,32,,34,,50,,68,,95,,,,,,,,,,,,,,,,,,,,,,4
10,What idea/conclusion did the results of the Stanley Milgram Experiment support?,MC,,,The brain waves of someone in REM sleep are very similar to those of one who is awake,,People tend to repeat reinforced behaviors; people do not tend to repeat punished behaviors,,A sense of power can cause people to get lost in their roles,,A majority of people would rather be wrong with the group than be correct alone,,A majority of people would fatally harm someone else if instructed to by an authority figure,,,,,,,,,,,,,,,,,,,,,,5
