Id,Question,Type,Preformatted,Image,Option 1,Image 1,Option 2,Image 2,Option 3,Image 3,Option 4,Image 4,Option 5,Image 5,Option 6,Image 6,Option 7,Image 7,Option 8,Image 8,Option 9,Image 9,Option 10,Image 10,Option 11,Image 11,Option 12,Image 12,Option 13,Image 13,Option 14,Image 14,Option 15,Image 15,Correct Answer
1,"You grow a large amount of untransformed <i>E. coli</i> cells on an LB agar plate containing ampicillin. After incubating it overnight, you would expect to see...",MC,,,a lawn.,,individual transformed colonies.,,individual untransformed colonies.,,nothing.,,,,,,,,,,,,,,,,,,,,,,,,4
2,"Lysis solution contains _____ and _____, which dissolve the cell wall and cell membrane, respectively.",MC,,,"lysozyme, detergent",,"detergent, lysozyme",,"lysozyme, amylase",,"amylase, lysozyme",,,,,,,,,,,,,,,,,,,,,,,,1
3,"Beta-mercaptoethanol, a reducing agent, helps denature proteins in preparation for SDS-PAGE by...",MC,,,breaking hydrogen bonds in the tertiary structure.,,breaking hydrogen bonds in the secondary structure.,,breaking disulfide bonds.,,breaking peptide bonds.,,,,,,,,,,,,,,,,,,,,,,,,3
4,Why is <i>Taq</i> polymerase (as opposed to human DNA polymerase) used in PCR?,MC,,,Human DNA Polymerase denatures due to the high pressure conditions necessary for PCR.,,Human DNA Polymerase denatures due to the high temperature conditions necessary for PCR.,,Human DNA Polymerase denatures due to the low temperature conditions necessary for PCR.,,Human DNA Polymerase does not elongate nucleotide strands efficiently enough.,,,,,,,,,,,,,,,,,,,,,,,,2
5,What is necessary in order to approximate lengths of DNA fragments in gel electrophoresis?,MC,,,A restriction enzyme,,A ladder,,A QIAquick spin column,,A reducing agent,,,,,,,,,,,,,,,,,,,,,,,,2
6,"When pipetting, the first stop is for _____, while the second stop is for _____.",MC,,,"transferring liquid, cleaning out the pipette",,"cleaning out the pipette, transferring liquid",,"drawing liquid, expelling liquid",,"expelling liquid, drawing liquid",,,,,,,,,,,,,,,,,,,,,,,,3
7,All of the following are steps that one must take before using a centrifuge EXCEPT...,MC,,,ensuring that the lid of the centrifuge is closed.,,"ensuring that the centrifuge is balanced, potentially by adding empty test tubes.",,ensuring that any open cap of a tube is opened toward the center of the centrifuge.,,setting the centrifuge to the correct time and rpm.,,,,,,,,,,,,,,,,,,,,,,,,3
8,Why won't cells of well-isolated haploid yeast colonies fertilize to form diploid cells?,MC,,,A fertilization promoting factor needs to be present for fertilization to occur.,,"Well-isolated haploid colonies have undergone transformation, preventing fertilization from occurring.",,The cells hate each other too much to even consider combining with each other.,,There is a mechanism against genetically identical cells fertilizing.,,,,,,,,,,,,,,,,,,,,,,,,4
9,Knowing the genotype of a haploid cell _____ allow one to unambiguously determine its phenotype. Knowing the genotype of a diploid cell _____ allow one to unambiguously determine its phenotype.,MC,,,"can, can",,"can, cannot",,"cannot, can",,"cannot, cannot",,,,,,,,,,,,,,,,,,,,,,,,1
10,"If there are more offspring with recombinant genotypes than offspring with parental genotypes, then...",MC,,,the genes in question are unlinked.,,"the genes in question are unlinked if the difference is statistically significant, linked if not.",,"the genes in question are linked if the difference is statistically significant, unlinked if not.",,the genes in question are linked.,,,,,,,,,,,,,,,,,,,,,,,,1
11,Which of the following correctly lists three types of cells from smallest to largest?,MC,,,"Prokaryotic Cells, Eukaryotic Animal Cells, Eukaryotic Plant Cells",,"Eukaryotic Animal Cells, Eukaryotic Plant Cells, Prokaryotic Cells",,"Eukaryotic Animal Cells, Prokaryotic Cells, Eukaryotic Plant Cells",,"Prokaryotic Cells, Eukaryotic Plant Cells, Eukaryotic Animal Cells",,,,,,,,,,,,,,,,,,,,,,,,1
12,An amide group on an amino acid (with the absence of other functional groups) would make that amino acid...,MC,,,nonpolar,,uncharged polar,,acidic,,basic,,,,,,,,,,,,,,,,,,,,,,,,2
13,A hairpin structure would refer to RNA's _____ structure.,MC,,,primary,,secondary,,tertiary,,quaternary,,,,,,,,,,,,,,,,,,,,,,,,2
14,Which of the following is a true statement regarding energy?,MC,,,Reactions that result in an increase in entropy are always spontaneous.,,Reactions that result in a decrease in enthalpy are exergonic.,,"Longer, weaker bonds store more potential energy.",,"Longer, weaker bonds require more energy to break.",,,,,,,,,,,,,,,,,,,,,,,,3
15,The hydrolysis of sucrose is a(n) _____ reaction and it _____ energy.,MC,,,"catabolic, absorbs",,"catabolic, releases",,"anabolic, absorbs",,"anabolic, releases",,,,,,,,,,,,,,,,,,,,,,,,2
16,Which complex of the electron transport chain (of the mitochondria) is NOT a proton pump?,MC,,,I,,II,,III,,IV,,,,,,,,,,,,,,,,,,,,,,,,2
17,"The light independent reactions of photosynthesis involve the conversion of ____ energy to ____ energy.
<i>Note: Although chemical energy is technically a form of potential energy, for the purposes of this question, potential energy is defined by energy produced by an ion gradient (NOT referring to chemical energy).</i>",MC,,,"sunlight, chemical",,"sunlight, potential (ion gradient)",,"potential (ion gradient), chemical",,"chemical, chemical",,,,,,,,,,,,,,,,,,,,,,,,4
18,"After anaphase but before cytokinesis, the cell has a total of how many chromosomes?",MC,,,23,,46,,92,,184,,,,,,,,,,,,,,,,,,,,,,,,3
19,"After crossing two dihybrids, what percentage of the offspring will exhibit the dominant phenotype for both traits?",MC,,,12.50%,,25%,,50%,,56.25%,,,,,,,,,,,,,,,,,,,,,,,,4
20,How is telomerase able to extend telomeres with the appropriate sequence?,MC,,,Telomerase contains a DNA template.,,Telomerase contains an RNA template.,,Telomerase contains amino acids that correspond to specific nucleotides.,,Telomerase contains carbohydrates that correspond to specific nucleotides.,,,,,,,,,,,,,,,,,,,,,,,,2
21,Which type of mutation would lead to a dramatic shortening of the translated polypeptide chain?,MC,,,Silent mutation,,Missense mutation,,Frameshift mutation,,Nonsense mutation,,,,,,,,,,,,,,,,,,,,,,,,4
22,"In eukaryotic regulation of gene expression, _____ bind to enhancers, while _____ bind to silencers.",MC,,,"repressors, activators",,"activators, repressors",,"promoter-proximal elements, operators",,"operators, promoter-proximal elements",,,,,,,,,,,,,,,,,,,,,,,,2
23,"Introns are present in the _____, but not in the _____.",MC,,,"transcriptome, proteome",,"proteome, transcriptome",,"transcriptome, genome",,"genome, transcriptome",,,,,,,,,,,,,,,,,,,,,,,,4
24,"_____ is a motor protein that moves toward the positive end of a microtubule, while _____ is a motor protein that moves toward the negative end.",MC,,,"kinesin, dynein",,"dynein, kinesin",,"kinesin, myosin",,"myosin, kinesin",,,,,,,,,,,,,,,,,,,,,,,,1
25,Cells on the intestinal wall are connected in a way that prevents fluid from seeping between them. They are probably connected by...,MC,,,a desmosome.,,a gap junction.,,a tight junction.,,plasmodesmata.,,,,,,,,,,,,,,,,,,,,,,,,3
