Id,Question,Type,Preformatted,Image,Option 1,Image 1,Option 2,Image 2,Option 3,Image 3,Option 4,Image 4,Option 5,Image 5,Option 6,Image 6,Option 7,Image 7,Option 8,Image 8,Option 9,Image 9,Option 10,Image 10,Option 11,Image 11,Option 12,Image 12,Option 13,Image 13,Option 14,Image 14,Option 15,Image 15,Correct Answer
1,"The difference between Gospel music and the Blues is that Gospel music is _____, while the Blues is _____.",MC,,,"sacred, secular",,"secular, sacred",,"classical, romantic",,"romantic, classical",,,,,,,,,,,,,,,,,,,,,,,,1
2,Two primal instruments are...,MC,,,woodwinds and brass,,percussion and voice,,winds and strings,,winds and percussion,,,,,,,,,,,,,,,,,,,,,,,,2
3,Slavery is not just about forcing people to do work. It is about...,MC,,,forcing people to do extremely laborious work.,,actively damaging the health of enslaved people.,,power and dominance over a human being.,,forcing people to sing.,,,,,,,,,,,,,,,,,,,,,,,,3
4,"Field hollers (""work songs"") often involve...",MC,,,strict time signatures.,,call and response.,,silence.,,,,,,,,,,,,,,,,,,,,,,,,,,2
5,How was the Blues scale born?,MC,,,Notes commonly used in Gospel music were put together into a scale.,,Someone tried every combination of tri-tones until they found a sequence that sounded good.,,Notes were removed from the relatively universal pentatonic scale.,,"People tried to sing the diatonic scale, but sung it incorrectly.",,,,,,,,,,,,,,,,,,,,,,,,4
6,"Enslaved people in the United States viewed which river as the ""Jordan""?",MC,,,Mississippi River,,Connecticut River,,Ohio River,,Hudson River,,,,,,,,,,,,,,,,,,,,,,,,3
7,"In Gospel music's early history, many churches considered it...",MC,,,sacred.,,traditional.,,innovative.,,unholy.,,,,,,,,,,,,,,,,,,,,,,,,4
8,The invitation of members who do not share the black heritage of Gospel music but want to honor it has what effect on the choir?,MC,,,Increases the size of the choir,,Decreases the level of heritage of the choir,,Increases the power of the choir,,All of the above,,,,,,,,,,,,,,,,,,,,,,,,4
9,"Fill in the blank: ""It is His will that every need be supplied. You are important to me. I need you to _____""",MC,,,win.,,be encouraged.,,survive.,,dance.,,,,,,,,,,,,,,,,,,,,,,,,3
10,"Gospel music is closely tied with the gospels of the Bible, which are which four books?",MC,,,"Genesis, Exodus, Leviticus, Numbers",,"Psalms, Proverbs, Song of Songs, Isaiah",,"Matthew, Mark, Luke, John",,"Acts, Romans, Jude, Revelation",,,,,,,,,,,,,,,,,,,,,,,,3
