Id,Question,Type,Preformatted,Image,Option 1,Image 1,Option 2,Image 2,Option 3,Image 3,Option 4,Image 4,Option 5,Image 5,Option 6,Image 6,Option 7,Image 7,Option 8,Image 8,Option 9,Image 9,Option 10,Image 10,Option 11,Image 11,Option 12,Image 12,Option 13,Image 13,Option 14,Image 14,Option 15,Image 15,Correct Answer
1,"Based on the empirical rule, in a normal distribution, approximately what percentage of data points lie within one standard deviation from the mean?",MC,,,34%,,68%,,95%,,99.70%,,,,,,,,,,,,,,,,,,,,,,,,2
2,"Suppose that Bruno made some delicious homemade ice cream and asked his statistics class to try some and give the ice cream a rating out of 5 points. Suppose that the first quartile was a 3.3, suppose that the median was a 4, and suppose that the third quartile was a 4.5. Which of the following would be the maximum score below the median that would be considered an outlier?",MC,,,1.5,,1.9,,2.1,,2.6,,,,,,,,,,,,,,,,,,,,,,,,1
3,"Suppose that on a given December day, there is a 20% chance that it will snow, and there is a 2% chance for a snow day. For any given December day where it will snow, there is a 40% chance for a snow day. What is the probability on a December day that it will snow AND there will be a snow day?",MC,,,0.40%,,8%,,18%,,60%,,,,,,,,,,,,,,,,,,,,,,,,2
4,"Suppose that when flipping a certain defective coin, there is a 55% chance that it will result in ""heads"" and a 45% chance that it will result in ""tails."" What is the expected number of ""heads"" after two flips?",MC,,,0.55,,0.9,,1,,1.1,,,,,,,,,,,,,,,,,,,,,,,,4
5,"Let's say that on a given day, there is a 23% chance that Dewick's soft serve machine is working. One wants to find the probability that Sarah's third meal at Dewick is the first time she is able to use the soft serve machine. What type of distribution would be appropriate?",MC,,,Binomial,,Hypergeometric,,Geometric,,Poisson,,,,,,,,,,,,,,,,,,,,,,,,3
6,Let \(CDF\) = cumulative distribution function. Let the random variable be the resulting number after rolling a die. What is \(CDF(3)\)?,MC,,,0.167,,0.5,,0.667,,0.833,,,,,,,,,,,,,,,,,,,,,,,,2
7,A standard normal distribution has a mean of _____ and a standard deviation of _____.,MC,,,"0, 0",,"0, 1",,"1, 0",,"1, 1",,,,,,,,,,,,,,,,,,,,,,,,2
8,"Suppose that at Six Flags, the average temperature is \(72\) \(^{\circ} F\) and the standard deviation is \(8\) \(^{\circ} F\). On a given day, what is the probability for the temperature to be exactly \(72\) \(^{\circ} F\)?",MC,,,0%,,0.01%,,1.56%,,12.50%,,,,,,,,,,,,,,,,,,,,,,,,1
9,What type of plot would help determine if data are lognormally distributed?,MC,,,Q-Q plot,,Boxplot,,Histogram,,Residuals plot,,,,,,,,,,,,,,,,,,,,,,,,1
10,"_____ error affects accuracy, whereas _____ error affects precision.",MC,,,"systematic, random",,"random, systematic",,"systematic, human",,"human, systematic",,,,,,,,,,,,,,,,,,,,,,,,1
11,"Based on the Central Limit Theorem, we can assume that a distribution is normally distributed if the sample size is greater than...",MC,,,30,,50,,5% of the population,,10% of the population,,,,,,,,,,,,,,,,,,,,,,,,1
12,The probability of falsely rejecting the null hypothesis is....,MC,,,the probability for a Type I error.,,1 minus the probability for a Type I error.,,the probability for a Type II error.,,1 minus the probability for a Type II error.,,,,,,,,,,,,,,,,,,,,,,,,1
13,"Assuming that the sample size is small, when should one use the \(Z\) distribution and when should one use the \(T\) distribution?",MC,,,\(Z\) distribution when population mean is known; \(T\) distribution when population mean is unknown,,\(Z\) distribution when population mean is unknown; \(T\) distribution when population mean is known,,\(Z\) distribution when population variance is known; \(T\) distribution when population variance is unknown,,\(Z\) distribution when population variance is unknown; \(T\) distribution when population variance is known,,,,,,,,,,,,,,,,,,,,,,,,3
14,"Suppose that when making cookies, it takes on average 20 minutes to prepare the dough (\(\sigma\) = 4 min.) and 10 minutes to bake the cookies (\(\sigma\) = 3 min.). What is the standard deviation for the entire process of making cookies?",MC,,,5 min.,,7 min.,,12 min.,,25 min.,,,,,,,,,,,,,,,,,,,,,,,,1
15,The probability distribution of sample variances for a population is best described using...,MC,,,a standard normal distribution.,,a \(T\) distribution.,,a \(\chi^2\) distribution.,,an \(F\) distribution.,,,,,,,,,,,,,,,,,,,,,,,,3
16,"To test whether or not two samples are from the same population, one could use a pooled t-test. What assumption does the pooled t-test make?",MC,,,the population means of the two samples are equal.,,the population variances of the two samples are equal.,,the samples are hypergeometrically distributed.,,None of the above,,,,,,,,,,,,,,,,,,,,,,,,2
17,"Suppose there was a law stating that a can of soda cannot contain more than 60 g of sugar. If we were using hypothesis testing to check whether or not a company is violating this policy, what would be the alternative hypothesis?
<i>Let \(\mu\) equal the population mean.</i>",MC,,,\(\mu < 60\) g,,\(\mu \leq 60\) g,,\(\mu > 60\) g,,\(\mu \geq 60\) g,,,,,,,,,,,,,,,,,,,,,,,,3
18,"Suppose that after students in a statistics class took an exam, we collected data on the number of hours each student spent studying and each student's exam scores. Suppose that the equation of the linear regression line was \(y=5x+50\), where \(x\) is the number of hours spent studying and \(y\) was the exam score. Dylan spent no time studying and got a \(63\). What would be the residual in Dylan's case?",MC,,,-13,,0,,5,,13,,,,,,,,,,,,,,,,,,,,,,,,4
19,What will be printed as a result of running this R code?,MC,"x <- c(1, 3, 5)
print(x[1])",,1,,2,,3,,5,,,,,,,,,,,,,,,,,,,,,,,,1
20,Which of the following is the correct syntax for a for loop that will run for 10 iterations in R?,MC,,,<code>for (int i = 1; i <= 10; i++) {}</code>,,<code>for (i = 1; i <= 10; i++) {}</code>,,"<code>for i in range(1, 10):</code>",,<code>for (i in 1:10) {}</code>,,,,,,,,,,,,,,,,,,,,,,,,4
