Id,Question,Type,Preformatted,Image,Option 1,Image 1,Option 2,Image 2,Option 3,Image 3,Option 4,Image 4,Option 5,Image 5,Option 6,Image 6,Option 7,Image 7,Option 8,Image 8,Option 9,Image 9,Option 10,Image 10,Option 11,Image 11,Option 12,Image 12,Option 13,Image 13,Option 14,Image 14,Option 15,Image 15,Correct Answer
1,Consider the following lines of R. Which of these options has the same effect?,MC,"f <- function() {
    a <- 1
    b <- c(2, 3)
    x <- c(a, b)
    x
}",,"<code>f <- function() { c(1, 2, 3) }</code>",,"<code>f <- function() { c(1, c(2, 3)) }</code>",,"<code>f <- function() { list(1, c(2, 3)) }</code>",,Both the first option and the second option.,,,,,,,,,,,,,,,,,,,,,,,,4
2,Consider the following lines of R. What is printed?,MC,"x <- rbinom(2, size=1000, prob=0.5)
print(length(x))",,<code>1</code>,,<code>2</code>,,<code>1000</code>,,<code>2000</code>,,,,,,,,,,,,,,,,,,,,,,,,2
3,Let \(p\) equal the success probability per trial in a binomial distribution and let \(s\) equal the number of trials. This distribution closely approximates a poisson distribution with \(\lambda = \) _____ when \(p\) is _____ and \(s\) is high.,MC,,,"\(p * s\), low",,"\(p * s\), high",,"\(\frac{p}{s}\), low",,"\(\frac{p}{s}\), high",,,,,,,,,,,,,,,,,,,,,,,,1
4,"Suppose that <code>scores</code> is a 25 x 5 matrix of test scores such that <code>scores[i, j]</code> is the score that student <code>i</code> received for test <code>j</code>. Further suppose that <code>toPct</code> is a function that takes in a single numeric value and returns that value as a percentage (i.e. multiplies the inputted value by 100). Which of the following stores, in <code>scoresPct</code>, a matrix equivalent to <code>scores</code> except that all test scores are in percentage form?",MC,,,"<code>scoresPct <- apply(scores, 1, toPct)</code>",,"<code>scoresPct <- apply(scores, 2, toPct)</code>",,"<code>scoresPct <- apply(scores, 3, toPct)</code>",,"<code>scoresPct <- apply(scores, c(1, 2), toPct)</code>",,,,,,,,,,,,,,,,,,,,,,,,4
5,"Which of the following lines of R code could have been used to generate this plot?
<i>Assume that the <code>ggplot2</code> library has already been included.</i>",MC,,Quiz Q1.jpg,"<code>ggplot(mtcars$mpg, mtcars$wt)</code>",,"<code>ggplot(mtcars$mpg, mtcars$wt) + geom_point()</code>",,"<code>ggplot(mtcars, aes(x = mpg, y = wt)) + geom_point()</code>",,"<code>ggplot(mtcars, aes(x = mpg, y = wt)) %>% geom_point()</code>",,,,,,,,,,,,,,,,,,,,,,,,3
6,"Maximum Likelihood Estimation (MLE) is a method that, given data \(D\), finds a model \(M\) that maximizes _____, and this is a method used in _____ statistics.",MC,,,"\(Pr(D|M)\), Bayesian",,"\(Pr(D|M)\), frequentist",,"\(Pr(M|D)\), Bayesian",,"\(Pr(M|D)\), frequentist",,,,,,,,,,,,,,,,,,,,,,,,2
7,"Suppose that when taking out the trash one day, you find five pieces of bubble wrap of varying sizes. For some reason, you decide that you want to count the number of unpopped bubbles in each piece and make the following observations: 0, 60, 120, 270, 450. What is the 60th percentile of these observations?",MC,,,120,,180,,210,,270,,,,,,,,,,,,,,,,,,,,,,,,2
8,Count data is often zero-inflated due to not everything being measured. Such zero-inflated data can be modelled with...,MC,,,a Gamma-Poisson distribution.,,a mixture of Dirichlet priors.,,a mixture model consisting of a model for the zero counts and another model for the nonzero counts.,,a mixture model consisting of a model for some of the zero counts and another model for the remaining counts.,,,,,,,,,,,,,,,,,,,,,,,,4
9,"Suppose that you are investigating whether or not there is a significant difference in food quality between Carm and Dewick, and you decide to do this by collecting student ratings on the food quality of each dining hall. You associate Carm ratings with an index of \(0\) and Dewick ratings with an index of \(1\), and you fit those ratings to a linear model \(y = \beta_0 + \beta_1 x\), which is used to perform a t-test. Which of the following would be the mean rating of Dewick?",MC,,,\(\beta_0\),,\(\beta_1\),,\(\beta_0 + \beta_1\),,\(\frac{\beta_0}{\beta_1}\),,,,,,,,,,,,,,,,,,,,,,,,3
10,"Suppose that <code>cells</code> is a data frame that contains information about different human cell types, where <code>cells$type</code> contains cell types (e.g. bone, skin, red blood, nerve) and <code>cells$num_mito</code> contains the average number of mitochondria per cell for a given cell type. Which of the following returns the cell types that have an average of more than 1000 mitochondria per cell?
<i>Assume that the <code>dplyr</code> library has already been included.</i>",MC,,,"<code>filter(select(cells, num_mito > 1000), type)</code>",,"<code>filter(select(cells, type), num_mito > 1000)</code>",,"<code>select(filter(cells, num_mito > 1000), type)</code>",,"<code>select(filter(cells, type), num_mito > 1000)</code>",,,,,,,,,,,,,,,,,,,,,,,,3
