Id,Question,Type,Preformatted,Image,Option 1,Image 1,Option 2,Image 2,Option 3,Image 3,Option 4,Image 4,Option 5,Image 5,Option 6,Image 6,Option 7,Image 7,Option 8,Image 8,Option 9,Image 9,Option 10,Image 10,Option 11,Image 11,Option 12,Image 12,Option 13,Image 13,Option 14,Image 14,Option 15,Image 15,Correct Answer
1,Is bread dangerous?,MC,,,Yes,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2,What substance is bread made from?,MC,,,Legos,,Dough,,Mice,,Schools,,,,,,,,,,,,,,,,,,,,,,,,2
3,Bread has been proven to be addictive. Subjects deprived of bread and given only water to eat begged for bread after only ___ days.,MC,,,One,,Two,,Three,,Four,,,,,,,,,,,,,,,,,,,,,,,,2
4,More than what percent of convicted felons are bread eaters?,MC,,,0%,,70%,,98%,,100%,,,,,,,,,,,,,,,,,,,,,,,,3
5,Newborn babies can _____ on bread.,MC,,,Jump,,Drown,,Burn,,Choke,,,,,,,,,,,,,,,,,,,,,,,,4
6,What type of colors may appeal to children?,MC,,,Primary,,Secondary,,Tertiary,,Quaternary,,,,,,,,,,,,,,,,,,,,,,,,1
7,What substance is bread proven to absorb?,MC,,,Blood,,Plasma,,Water,,Saliva,,,,,,,,,,,,,,,,,,,,,,,,3
8,Fully ____ of all children who grow up in bread-consuming households score below average on standardized tests.,MC,,,\(\frac{1}{2}\),,Half,,HALF,,\(\frac{2}{4}\),,,,,,,,,,,,,,,,,,,,,,,,3
9,More than 90 percent of violent crimes are committed within __ hours of eating bread. (2P),MC,,,2,,24,,97,,146,,,,,,,,,,,,,,,,,,,,,,,,2
10,"What percentage federal tax is suggested for paying ""for all the societal ills we might associate with bread""?",MC,,,None,,50%,,100%,,300%,,,,,,,,,,,,,,,,,,,,,,,,4
