Id,Question,Type,Preformatted,Image,Option 1,Image 1,Option 2,Image 2,Option 3,Image 3,Option 4,Image 4,Option 5,Image 5,Option 6,Image 6,Option 7,Image 7,Option 8,Image 8,Option 9,Image 9,Option 10,Image 10,Option 11,Image 11,Option 12,Image 12,Option 13,Image 13,Option 14,Image 14,Option 15,Image 15,Correct Answer
1,Is DHMO dangerous?,MC,,,Yes,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2,The Dihydrogen Monoxide Research Division is located in which city?,,,,"Los Angeles, California",,"New York, New York",,"Chicago, Illinois",,"Newark, Delaware",,,,,,,,,,,,,,,,,,,,,,,,4
3,"All of the following are located in the ""DHMO Related Info"" section EXCEPT...",,,,Flat Earth Society,,Environmental Protection Agency,,Sierra Club,,Centers for Disease Control & Prevention,,,,,,,,,,,,,,,,,,,,,,,,1
4,Dihydrogen Monoxide is a ______ and ______ chemical compound.,,,,"colorless, odorless",,"colorless, odorous",,"colorful, odorless",,"colorful, odorous",,,,,,,,,,,,,,,,,,,,,,,,1
5,Dihydrogen Monoxide can also be referred to as all of the following EXCEPT...,,,,Dihydrogen Oxide,,Dihydrogen Hydroxide,,Hydrogen Hydroxide,,Hydric Acid,,,,,,,,,,,,,,,,,,,,,,,,2
6,"The atomic components of DHMO are found in a number of ____, ____ and ____ compounds such as Sulfuric Acid, Nitroglycerine and Ethyl Alcohol.",,,,"stupid, ignorant, gullible",,"happy, sad, angry",,"caustic, explosive, poisonous",,"refreshing, relaxing, restful",,,,,,,,,,,,,,,,,,,,,,,,3
7,Nathan Zohner conclued that roughly __ percent of the population supports a ban on dihydrogen monoxide.,,,,0,,13,,71,,86,,,,,,,,,,,,,,,,,,,,,,,,4
8,DHMO is a major component of....,,,,fire,,sandpaper,,acid rain,,hardtack,,,,,,,,,,,,,,,,,,,,,,,,3
9,What can gaseous DHMO cause?,,,,Hypothermia,,Severe Burns,,Bloody Cuts,,Drowning,,,,,,,,,,,,,,,,,,,,,,,,2
10,DHMO is always given to dogs involved in...,,,,recent deadly attacks,,emotional cuddling,,drug addiction,,overeating,,,,,,,,,,,,,,,,,,,,,,,,1
11,"According to the website, why do elite athletes use DHMO?",,,,to survive,,to improve their performance,,to gain calories,,to photosynthesize,,,,,,,,,,,,,,,,,,,,,,,,2
12,Dihydrogen Monoxide (DHMO) is dangerous because it is used by hate groups such as _________ during rallies.,,,,the John Kuhner Fan Club,,the Executive Office of the President,,North Korea,,the KKK,,,,,,,,,,,,,,,,,,,,,,,,4
13,DHMO is also used by kids who play...,,,,Minecraft,,Wormate.io,,Connect 4,,Beyblades,,,,,,,,,,,,,,,,,,,,,,,,4
14,Who of the following used dihydrogen monoxide?,,,,Al Qaeda,,The Nazis in concentration camps,,Members of Congress who are under investigation for financial corruption and inappropriate IM behavior,,All of the above,,,,,,,,,,,,,,,,,,,,,,,,4
15,Dihydrogen monoxide is used as a(n) _______ in grocery store fresh produce sections.,,,,preservative,,tenderizer,,artificial additive,,seasoning,,,,,,,,,,,,,,,,,,,,,,,,1
16,DHMO is dangerously available to perpetrators of...,,,,suicide missions,,gun violence,,drowning contests,,the Cinnamon challenge,,,,,,,,,,,,,,,,,,,,,,,,2
17,Which group believes that the dangers of Dihydrogen Monoxide have been exaggerated?,,,,Dihydrogen Monoxide Research Division,,Hydric Acid 4 Life!,,Friends of Hydrogen Hydroxide,,Bean Boozled,,,,,,,,,,,,,,,,,,,,,,,,3
18,Which of the following is a symptom of accidental DHMO overdose?,,,,Heart Attack,,Seizures,,Difficulty Breathing,,Excessive Urination,,,,,,,,,,,,,,,,,,,,,,,,4
19,"DHMO is ________ in nearly every creek, stream, pond, river, lake and reservoir in the U.S. and around the world.",,,,present in high levels,,present in mediocre levels,,present in low levels,,not present,,,,,,,,,,,,,,,,,,,,,,,,1
20,"Dihydrogen Monoxide is not believed to be carcinogenic, although it is known to be a component of a number of...",,,,cancer-causing agents,,car accidents,,performance enhancements,,None of the above,,,,,,,,,,,,,,,,,,,,,,,,1
21,"Based on the Westlake Experiment, who is least likely to support a ban on DHMO?",,,,Freshmen,,Sophomores,,Juniors,,Seniors,,,,,,,,,,,,,,,,,,,,,,,,3
