Id,Question,Type,Preformatted,Image,Option 1,Image 1,Option 2,Image 2,Option 3,Image 3,Option 4,Image 4,Option 5,Image 5,Option 6,Image 6,Option 7,Image 7,Option 8,Image 8,Option 9,Image 9,Option 10,Image 10,Option 11,Image 11,Option 12,Image 12,Option 13,Image 13,Option 14,Image 14,Option 15,Image 15,Correct Answer
1,How does one fully secure an airport?,MC,,,Strictly follow the TSA's guidelines.,,Place an officer at every square yard.,,Close the airport permanently.,,It is impossible to fully secure an airport.,,,,,,,,,,,,,,,,,,,,,,,,3
2,What packet is first sent in the TCP three-way handshake?,MC,,,SYN,,ACK,,SYN-ACK,,None of the above,,,,,,,,,,,,,,,,,,,,,,,,1
3,What does the linux <code>file</code> command do?,MC,,,Creates an empty file,,Outputs the contents of a file,,Outputs the type of a file,,Compresses a file,,,,,,,,,,,,,,,,,,,,,,,,3
4,Which of the following provides a mapping between names such as google.com and their corresponding IP addresses?,MC,,,Internet Protocol,,Address Resolution Protocol,,Domain Name System,,Packet Capture,,,,,,,,,,,,,,,,,,,,,,,,3
5,What tool is useful for packet analysis?,MC,,,Burp Suite,,Wireshark,,Hashcat,,Nikto,,,,,,,,,,,,,,,,,,,,,,,,2
6,What port number is typically associated with the HTTP protocol?,MC,,,21,,22,,80,,7777,,,,,,,,,,,,,,,,,,,,,,,,3
7,How many layers of abstraction are there in the Open Systems Interconnection (OSI) model?,MC,,,5,,6,,7,,9,,,,,,,,,,,,,,,,,,,,,,,,3
8,What encryption method is impossible to crack?,MC,,,Caesar cipher,,Base64,,One-Time Pad,,No encryption method is impossible to crack.,,,,,,,,,,,,,,,,,,,,,,,,3
9,Which file in Linux systems stores password hashes?,MC,,,<code>/etc/passwd</code>,,<code>/etc/shadow</code>,,<code>/usr/bin/passwd</code>,,<code>/usr/bin/shadow</code>,,,,,,,,,,,,,,,,,,,,,,,,2
10,What is the difference between a CVE and a CWE?,MC,,,"A CVE describes a weakness, whereas a CWE describes a mitigation strategy for that weakness.",,"A CVE describes a mitigation strategy for a weakness, whereas a CWE describes the weakness itself.",,"A CVE describes a generic weakness, whereas a CWE describes a weakness tied to a specific product or service.",,"A CVE describes a weakness tied to a specific product or service, whereas a CWE describes a generic weakness.",,,,,,,,,,,,,,,,,,,,,,,,4
11,The buffer overflow vulnerability is present in many functions of the _____ language(s).,MC,,,C and C++,,Java and JavaScript,,Python,,Impcore and Scheme,,,,,,,,,,,,,,,,,,,,,,,,1
12,"Consider the following SQL statement that is executed based on a user-inputted username and password:
<code>SELECT username, password FROM users WHERE password = '$password' AND username = '$username'</code>
Which of the following inputs of username/password combos would result in information returned, thereby allowing one to ""break in"" to the system?
<i>Format: </i><code>username:password</code>",MC,,,<code>blah:1 OR '1'='1'</code>,,<code>blah:1' OR '1'='1</code>,,<code>1 OR '1'='1':blah</code>,,<code>1' OR '1'='1:blah</code>,,,,,,,,,,,,,,,,,,,,,,,,4
13,Which of the following statements about static/dynamic analysis is incorrect?,MC,,,Valgrind is a static analysis tool.,,Static analysis guarantees full code coverage.,,Dynamic analysis involves program execution.,,Linters are not dynamic analysis tools.,,,,,,,,,,,,,,,,,,,,,,,,1
14,Which of the following best describes code that self-replicates without requiring any user intervention?,MC,,,A proxy,,A virus,,A worm,,A backdoor,,,,,,,,,,,,,,,,,,,,,,,,3
15,Which of the following best describes how anti-virus programs are generally implemented?,MC,,,Run each executable in a controlled environment and report whether the program attempts to access sensitive information.,,"Test each file on a neural network trained on past examples of viruses and non-viruses, reporting the network's prediction.",,"Hash each file and compare those hashes against the hashes of known viruses, reporting if there is a match.",,"Wait for some small, random amount of time and report that no virus was detected.",,,,,,,,,,,,,,,,,,,,,,,,3
