Id,Question,Type,Preformatted,Image,Option 1,Image 1,Option 2,Image 2,Option 3,Image 3,Option 4,Image 4,Option 5,Image 5,Option 6,Image 6,Option 7,Image 7,Option 8,Image 8,Option 9,Image 9,Option 10,Image 10,Option 11,Image 11,Option 12,Image 12,Option 13,Image 13,Option 14,Image 14,Option 15,Image 15,Correct Answer
1,All of the following major medical innovations are medical devices EXCEPT...,,,,X-rays,,Cochlear implants,,Pulse oximeters,,Microarrays,,,,,,,,,,,,,,,,,,,,,,,,4
2,Platinum wire RTDs (the de-facto industry standard temperature sensor) have different _____ at different temperatures and have _____ temperature coefficients.,,,,"resistances, positive",,"resistances, negative",,"voltages, positive",,"voltages, negative",,,,,,,,,,,,,,,,,,,,,,,,1
3,"Suppose that in a voltage divider circuit containing two resistors, resistor \(A\) has a fixed resistance of \(100\) \(\Omega\) and resistor \(B\) has a variable resistance. In order to maximize sensitivity (change in voltage across \(B\) with respect to change in \(B\)'s resistance), resistor \(B\) should have approximately what resistance?",,,,\(0\) \(\Omega\),,\(50\) \(\Omega\),,\(100\) \(\Omega\),,\(\infty\) \(\Omega\),,,,,,,,,,,,,,,,,,,,,,,,3
4,"Consider the following image of a Wheatstone Bridge circuit. In order for the bridge to be balanced, what must be the resistance of the resistor marked with an \(x\)?",,,Quiz Q1.PNG,\(75\) \(\Omega\),,\(150\) \(\Omega\),,\(200\) \(\Omega\),,\(300\) \(\Omega\),,,,,,,,,,,,,,,,,,,,,,,,1
5,The derivative of a ramp signal with respect to time is...,,,,an impulse signal.,,a step signal.,,a parabolic signal.,,another ramp signal.,,,,,,,,,,,,,,,,,,,,,,,,2
6,"Strain gauges are devices that can be used as sensors, as the amount of strain affects the resistance of the strain gauge. Specifically, strain significantly changes what property of the fibers within the device to increase resistance?",,,,Increases the resistivity,,Increases the dielectric constant,,Increases the length,,Decreases the cross-sectional area,,,,,,,,,,,,,,,,,,,,,,,,3
7,"Suppose that we have a series RC circuit containing some AC voltage source, and we are plotting the frequency of the voltage source on the x axis and the capacitive reactance (i.e. the magnitude of the impedance of the capacitor) on the y axis. This plot would have a _____ shape, and as the capacitance of the capacitor increases,...",,,,"hyperbolic, the curve becomes sharper.",,"hyperbolic, the curve becomes less sharp.",,"linear, the slope increases.",,"linear, the slope decreases.",,,,,,,,,,,,,,,,,,,,,,,,1
8,Suppose that you are designing a bandpass filter using a series RLC circuit. The output voltage should be the voltage across...,,,,the resistor.,,the capacitor.,,the inductor.,,both the capacitor and the inductor.,,,,,,,,,,,,,,,,,,,,,,,,1
9,"What is the resonant frequency of a series RLC circuit where \(R = 4\) \(\Omega\), \(L = 8\) \(H\), and \(C = 2\) \(F\)?",,,,\(\frac{1}{16}\) rad/sec,,\(\frac{1}{8}\) rad/sec,,\(\frac{1}{4}\) rad/sec,,\(\frac{1}{2}\) rad/sec,,,,,,,,,,,,,,,,,,,,,,,,3
10,"Defibrillators contain _____ circuits that produce the Lown waveform, which is _____.",,,,"critically damped, monophasic",,"critically damped, biphasic",,"underdamped, monophasic",,"underdamped, biphasic",,,,,,,,,,,,,,,,,,,,,,,,4
11,"Suppose that the inverting input voltage to an operational amplifier is \(3\) \(V\) and the noninverting input voltage is \(4\) \(V\). Further suppose that the operational amplifier has an open loop gain of \(10\) and that the positive and negative power supplies are \(+15\) \(V\) and \(-15\) \(V\), respectively. Assuming that there is no feedback, what is the output voltage?",,,,\(10\) \(V\),,\(11\) \(V\),,\(15\) \(V\),,\(70\) \(V\),,,,,,,,,,,,,,,,,,,,,,,,1
12,Which of the following operational amplifier circuits is a voltage follower?,,,,a,Quiz Q2-1.PNG,b,Quiz Q2-2.PNG,c,Quiz Q2-3.PNG,d,Quiz Q2-4.PNG,,,,,,,,,,,,,,,,,,,,,,,2
13,All of the following are true statements regarding active filters EXCEPT...,,,,Active filters generally require more power than passive filters.,,"Active filters can provide a gain of greater than 1, whereas passive filters cannot provide a gain of more than 1.",,"Both active and passive filters are designed to ""pass"" certain frequencies and attenuate others.",,An active lowpass filter can be created by taking an inverting amplifier circuit and connecting a capacitor in series with the feedback resistor.,,,,,,,,,,,,,,,,,,,,,,,,4
14,Which picture most accurately represents how the pins of a breadboard are implicitly connected (before adding any wires)?,,,,a,Quiz Q3-1.PNG,b,Quiz Q3-2.PNG,c,Quiz Q3-3.PNG,d,Quiz Q3-4.PNG,,,,,,,,,,,,,,,,,,,,,,,2
15,"Suppose that a signal is represented as follows in the frequency domain. Assuming that all components of the signal are of interest, what (in practice) should be the minimum sampling frequency of a digitizer of this signal?",,,Quiz Q4.PNG,\(100\) \(Hz\),,\(200\) \(Hz\),,\(400\) \(Hz\),,\(1600\) \(Hz\),,,,,,,,,,,,,,,,,,,,,,,,4
