Id,Question,Type,Preformatted,Image,Option 1,Image 1,Option 2,Image 2,Option 3,Image 3,Option 4,Image 4,Option 5,Image 5,Option 6,Image 6,Option 7,Image 7,Option 8,Image 8,Option 9,Image 9,Option 10,Image 10,Option 11,Image 11,Option 12,Image 12,Option 13,Image 13,Option 14,Image 14,Option 15,Image 15,Correct Answer
1,"Consider the following differential equation:

\((y')^2 + xy = x^2\)

Which of the following correctly describes this equation?",MC,,,This is a linear equation with an order of 1.,,This is a linear equation with an order of 2.,,This is a nonlinear equation with an order of 1.,,This is a nonlinear equation with an order of 2.,,,,,,,,,,,,,,,,,,,,,,,,3
2,Find the (non-constant) general solution to the following differential equation: \(\frac{dy}{dx} = \ln(x) \sin^2(y)\),MC,,,\(\cot(y) = \frac{1}{x} + C\),,\(\cot(y) = x \ln(x) - x + C\),,\(-\cot(y) = \frac{1}{x} + C\),,\(-\cot(y) = x \ln(x) - x + C\),,,,,,,,,,,,,,,,,,,,,,,,4
3,"Consider the following linear differential equation:

\(xy' + x^2 y = 1\)

Which of the following is the integrating factor (\(\mu\)) that both sides would be multiplied by in a later step in order to solve this equation?",MC,,,\(e^x\),,\(e^{\frac{x^2}{2}}\),,\(e^{x^2}\),,\(e^{\frac{x^3}{3}}\),,,,,,,,,,,,,,,,,,,,,,,,2
4,"Which of the following is an appropriate substitution to make to solve a Bernoulli equation of the form \(y' + p(x)y = q(x)y^n\), where \(n\) is not \(0\) or \(1\)?",MC,,,\(v = \frac{y}{x}\),,\(v = \frac{x}{y}\),,\(v = y^{n-1}\),,\(v = y^{1-n}\),,,,,,,,,,,,,,,,,,,,,,,,4
5,"Suppose that we have some IVP (Initial Value Problem) defined as \(y' = f(x, y), y(x_0) = y_0\). Based on the Existence and Uniqueness Theorem, we can say that a unique solution to the IVP exists within a box containing \((x_0, y_0)\) if...",MC,,,"\(f(x, y)\) and \(\frac{\partial}{\partial x} f(x, y)\) are continuous within the box.",,"\(f(x, y)\) and \(\frac{\partial}{\partial y} f(x, y)\) are continuous within the box.",,"\(f(x, y)\) and \(\frac{\partial}{\partial x} f(x, y)\) are undefined within the box.",,"\(f(x, y)\) and \(\frac{\partial}{\partial y} f(x, y)\) are undefined within the box.",,,,,,,,,,,,,,,,,,,,,,,,2
6,What is the general solution of \(y'' - 4y' + 4y = 0\)?,MC,,,\(y = c_1 e^{2x} + c_2 e^{2x}\),,\(y = c_1 e^{2x} + c_2 x e^{2x}\),,\(y = c_1 e^{-2x} + c_2 e^{2x}\),,\(y = c_1 e^{-2x} + c_2 x e^{-2x}\),,,,,,,,,,,,,,,,,,,,,,,,2
7,Suppose that the general solution to a second order constant coefficient differential equation is \(y = c_1 \cos(2x) + c_2 \sin(2x)\). The characteristic polynominal must have...,MC,,,"two distinct, real roots.",,one real root with a multiplicity of 2.,,two purely imaginary roots.,,"two complex roots, each with a nonzero real component and nonzero imaginary component.",,,,,,,,,,,,,,,,,,,,,,,,3
8,For which of the following types of functions \(f(x)\) are Undetermined Coefficients NOT a viable method for solving non-homogeneous linear equations of the form \(ay'' + by' + cy = f(x)\)?,MC,,,\(f(x)\) equals some exponential function with \(e\) as the base,,\(f(x)\) equals some sine or cosine function,,\(f(x)\) equals some polynominal,,All of the above are functions \(f(x)\) where Undetermined Coefficients would be a viable method.,,,,,,,,,,,,,,,,,,,,,,,,4
9,Suppose that you are using the method of Undetermined Coefficients to solve the following differential equation: \(y'' - 2y' + y = \cos(2x) + e^x\). A particular solution (\(y_p\)) would have what form?,MC,,,\(y_p = A \cos(2x) + B \sin(2x) + C x^2 e^x\),,\(y_p = A \cos(2x) + B \sin(2x) + C e^x\),,\(y_p = A \cos(2x) + B x e^x\),,\(y_p = A \cos(2x) + B e^x\),,,,,,,,,,,,,,,,,,,,,,,,1
10,"Suppose that \(y_1 = \cos(x)\) and \(y_2 = \sin(x)\). What is \(W(y_1, y_2)\), where \(W\) indicates the Wronskian?",MC,,,\(-1\),,\(0\),,\(1\),,\(\cos(2x)\),,,,,,,,,,,,,,,,,,,,,,,,3
11,Which of the following is a requirement for the Laplace Transform of a function \(f(t)\) to be defined?,MC,,,\(f(t)\) is continuous at all points of its domain.,,"\(f(t)\) is of exponential order, i.e. there exists a \(C\) such that \(\lim\limits_{t \to \infty} \frac{f(t)}{e^{Ct}} = 0\).",,All of the above,,None of the above,,,,,,,,,,,,,,,,,,,,,,,,2
12,"Consider the following partial fraction decomposition. The ""cover-up"" method can be used to easily figure out the value(s) of which of the coefficients?

\(\frac{1}{(s-2)(s-1)^2} = \frac{A}{s-2} + \frac{B}{s-1} + \frac{C}{(s-1)^2}\)",MC,,,A only,,A and B only,,A and C only,,"A, B, and C",,,,,,,,,,,,,,,,,,,,,,,,3
13,"Which of the following statements correctly describes the relationship between the Heaviside Function and the Dirac Delta ""Function""?",MC,,,"The Heaviside Function can be interpreted as the ""derivative"" of the Dirac Delta, and the Laplace Transform of the Heaviside Function is equal to the Laplace Transform of the Dirac Delta multiplied by \(s\).",,"The Heaviside Function can be interpreted as the ""derivative"" of the Dirac Delta, and the Laplace Transform of the Heaviside Function is equal to the Laplace Transform of the Dirac Delta divided by \(s\).",,"The Dirac Delta can be interpreted as the ""derivative"" of the Heaviside Function, and the Laplace Transform of the Heaviside Function is equal to the Laplace Transform of the Dirac Delta multiplied by \(s\).",,"The Dirac Delta can be interpreted as the ""derivative"" of the Heaviside Function, and the Laplace Transform of the Heaviside Function is equal to the Laplace Transform of the Dirac Delta divided by \(s\).",,,,,,,,,,,,,,,,,,,,,,,,4
14,"Suppose that you are testing if a series converges using the ratio test by finding \(\lim\limits_{n \to \infty} | \frac{a_{n+1}}{a_n} |\). If this limit equals \(1\), this means that...",MC,,,the series converges absolutely.,,the series converges conditionally.,,the series diverges.,,the test is inconclusive.,,,,,,,,,,,,,,,,,,,,,,,,4
15,"The differential equation \(y'' + xy' = 0\) expands to the series shown below when assuming that the solution is analytic, i.e. \(y\) is a power series in the form \(\sum\limits_{n=0}^\infty a_n x^n\). Which of the following is the correct recurrence relation of the coefficients in the solution series?

\(\sum\limits_{n=2}^\infty n (n-1) a_n x^{n-2} + \sum\limits_{n=1}^\infty n a_n x^n = 0\)",MC,,,\(a_{n+2} = -\frac{n a_n}{(n+2)(n+1)}\),,\(a_{n+2} = -\frac{n a_n}{(n-2)(n-3)}\),,\(a_{n+2} = - \frac{a_{n+1}}{n+2}\),,\(a_{n+2} = - \frac{(n+1)a_{n+1}}{(n-2)(n-3)}\),,,,,,,,,,,,,,,,,,,,,,,,1
16,"Find the degree 2 Taylor polynominal approximation of the solution to the following IVP (initial value problem): \(y'' + (x + 1)y' + (15x^2+4x+5)y = 0, y(0) = 1, y'(0) = 3\)",MC,,,\(1 + 3x - 8x^2\),,\(1 + 3x - 4x^2\),,\(1 + 3x + 4x^2\),,\(1 + 3x + 8x^2\),,,,,,,,,,,,,,,,,,,,,,,,2
17,"Suppose that there exists a series solution to a second order linear differential equation centered around \(x=0\) of the form \(p(x)y'' + q(x)y' + r(x)y = 0\). Further suppose that the nearest singular points to \(x=0\) are at \(x=3+4i\) and \(x=3-4i\). Based on the theorem regarding singular points, what is the minimum interval of convergence?",MC,,,"\((-1, 7)\)",,"\((-3, 3)\)",,"\((-5, 5)\)",,The series solution does not converge.,,,,,,,,,,,,,,,,,,,,,,,,3
18,"Suppose that there exists a 50 gallon tank containing 2 lbs. of salt at time \(t=0\). Water flows out of the tank at a rate of 1 gal./min., and new salt water with a concentration of 2 lbs. of salt per gallon flows into the tank at the same rate. At time \(t = \infty\), how much salt is there in the tank?",MC,,,2 lbs of salt,,51 lbs of salt,,100 lbs of salt,,102 lbs of salt,,,,,,,,,,,,,,,,,,,,,,,,3
19,"Consider the following IVP (initial value problem): \(y''+y=0, y(0) = 2, y'(0) = 1\). Based on Euler's Method, what is the approximate value of \(y(2)\) using a step size of \(1\)?",MC,,,-4,,2,,3,,6,,,,,,,,,,,,,,,,,,,,,,,,2
20,"Consider the following differential equation: \(4y'' + 8y' + 2y = 0\). Assuming both \(y\) and \(y'\) are nonzero at \(t=0\), the solution (\(y\))...",MC,,,never equals \(0\) for any value of \(t\).,,equals \(0\) for exactly one value of \(t\).,,"equals \(0\) for multiple values of \(t\), but not every value of \(t\).",,always equals \(0\) regardless of the value of \(t\).,,,,,,,,,,,,,,,,,,,,,,,,1
