Id,Question,Type,Preformatted,Image,Option 1,Image 1,Option 2,Image 2,Option 3,Image 3,Option 4,Image 4,Option 5,Image 5,Option 6,Image 6,Option 7,Image 7,Option 8,Image 8,Option 9,Image 9,Option 10,Image 10,Option 11,Image 11,Option 12,Image 12,Option 13,Image 13,Option 14,Image 14,Option 15,Image 15,Correct Answer
1,"According to Urie Bronfenbrenner's bioecological model of child development, parental workplace policies on taking parental leave is considered to be part of which structural level?",MC,,,Microsystem,,Mesosystem,,Exosystem,,Macrosystem,,,,,,,,,,,,,,,,,,,,,,,,3
2,All of the following would decrease an infant's risk of dying from Sudden Infant Death Syndrome (SIDs) EXCEPT...,MC,,,putting infants to sleep on their stomach.,,putting infants to sleep on a firm mattress.,,breast-feeding infants (as opposed to using pacifiers).,,None of the above would decrease the risk of SIDs.,,,,,,,,,,,,,,,,,,,,,,,,1
3,Which of the following most accurately describes the process of the habituation method?,MC,,,"When shown two stimuli side-by-side, an infant showing a preference of one stimulus over the other indicates they can discriminate the two stimuli, but this does not imply that they like the stimulus that they have a preference of more.",,"When shown two stimuli side-by-side, an infant showing a preference of one stimulus over the other indicates they can discriminate the two stimuli and like the stimulus that they have preference of more.",,"When shown one stimulus over and over again, an infant will get bored of that stimulus and look at the stimulus for less and less time. If this pattern of boredom continues even when the stimulus changes to a different one, this implies that the infant can discriminate between the two stimuli.",,"When shown one stimulus over and over again, an infant will get bored of that stimulus and look at the stimulus for less and less time. If this pattern of boredom continues even when the stimulus changes to a different one, this implies that the infant cannot discriminate between the two stimuli.",,,,,,,,,,,,,,,,,,,,,,,,4
4,Which of the following depth cues develop the earliest for infants?,MC,,,Binocular cues,,Dynamic cues,,Monocular cues,,Pictoral cues,,,,,,,,,,,,,,,,,,,,,,,,2
5,"Suppose that a 12-month old infant named Bob observes an adult carrying a box opening a door with their feet. Another 12-month old infant named Sally observes a different adult with their hands free also opening a door with their feet. When imitating the adult they observed,...
<i>Assume that the door handle is low enough where both Bob and Sally would be able to open the door with their feet.</i>",MC,,,both Bob and Sally would try to open the door with their hands.,,"Bob would try to open the door with his hands, whereas Sally would try to open the door with her feet.",,"Sally would try to open the door with her hands, whereas Bob would try to open the door with his feet.",,both Bob and Sally would try to open the door with their feet.,,,,,,,,,,,,,,,,,,,,,,,,2
6,"The English language contains some irregular words that do not follow normal linguistic ""rules."" For example, ""went"" (not ""goed"") is the past tense of ""go."" Which of the following most accurately describes how infants learn those irregularities over the course of their development?",MC,,,"The infant learns the ""rule"" first (saying ""goed""), then memorizes irregularities (correcting ""goed"" to ""went"").",,"The infant learns of specific instances of irregularities first (saying ""went"" instead of ""goed""), then learns of the ""rule"" (use ""-ed"" for past tense) but immediately understands that irregularities (like ""went"") are exceptions to the ""rule.""",,"The infant learns linguistic ""rules"" (use ""-ed"" for past tense) and irregularities (saying ""went"" instead of ""goed"") concurrently.",,"The infant learns of specific instances of irregularities first (saying ""went""), then learns of the ""rule"" (changing ""went"" to ""goed""), then some time later learns to treat irregularities as exceptions to the ""rule"" (correcting ""goed"" back to ""went"").",,,,,,,,,,,,,,,,,,,,,,,,4
7,Stage theories emphasize _____ in a child's development and are considered to be _____.,MC,,,"continuity, qualitative",,"continuity, quantitative",,"discontinuity, qualitative",,"discontinuity, quantitative",,,,,,,,,,,,,,,,,,,,,,,,3
8,"Young children (under 5 years old) would most likely classify which of the following as a living thing?

I. A Pine Tree<br />II. A Red Car <br />III. A Golden Retriever",MC,,,I only,,III only,,I and III only,,II and III only,,,,,,,,,,,,,,,,,,,,,,,,4
9,"Because of childhood amnesia, children are unlikely to remember any experiences before _____ years of age.",MC,,,two,,three,,four,,five,,,,,,,,,,,,,,,,,,,,,,,,2
10,"Sometimes, when infants are in a state of distress, they will lightly rub their hands together or suck their thumb to try to alleviate their distress. This is referred to as...",MC,,,co-regulation.,,self-comforting behaviors.,,self-distraction.,,All of the above,,,,,,,,,,,,,,,,,,,,,,,,2
11,"James Marcia developed four groups describing an individual's identity status: identity diffusion, identity foreclosure, moratorium, and identity achievement. Emily is actively exploring identities but has not yet made a commitment to one. Which group would she fall under?",MC,,,Identity diffusion,,Identity foreclosure,,Moratorium,,Identity achievement,,,,,,,,,,,,,,,,,,,,,,,,3
12,"Robert Sternberg's theory of successful intelligence revolves around three main types of abilities, which include all of the following EXCEPT...",MC,,,naturalistic abilities.,,creative abilities.,,practical abilities.,,analytic abilities.,,,,,,,,,,,,,,,,,,,,,,,,1
13,"Tracey is a participant in Mary Ainsworth's Strange Situation Experiment. When their mother leaves the room, Tracey is noticeably distressed and acts angrily towards her when she returns. What is Tracey's attachment style?",MC,,,Secure attachment,,Insecure-resistant attachment,,Insecure-avoidant attachment,,Disorganized attachment,,,,,,,,,,,,,,,,,,,,,,,,2
14,Which of the following parenting styles results in the most positive developmental outcomes?,MC,,,Authoritative,,Authoritarian,,Permissive,,Uninvolved,,,,,,,,,,,,,,,,,,,,,,,,1
15,"Older adults are _____, whereas younger adults are _____.",MC,,,"more likely to remember positive images than negative images, just as likely to remember positive images as negative images",,"more likely to remember positive images than negative images, more likely to remember negative images than positive images",,"more likely to remember negative images than positive images, more likely to remember positive images than negative images",,"more likely to remember negative images than positive images, just as likely to remember positive images as negative images",,,,,,,,,,,,,,,,,,,,,,,,1
