Id,Question,Type,Preformatted,Image,Option 1,Image 1,Option 2,Image 2,Option 3,Image 3,Option 4,Image 4,Option 5,Image 5,Option 6,Image 6,Option 7,Image 7,Option 8,Image 8,Option 9,Image 9,Option 10,Image 10,Option 11,Image 11,Option 12,Image 12,Option 13,Image 13,Option 14,Image 14,Option 15,Image 15,Correct Answer
1,An argument is sound if...,MC,,,the truth of its premises guarantees the truth of the conclusion.,,all premises are true.,,the truth of the conclusion guarantees the truth of its premises.,,Both the first option and the second option must be true.,,,,,,,,,,,,,,,,,,,,,,,,4
2,"One day, Susan visits a beach on Cape Cod. She decides to go swimming, but swims just a little bit too far. The current manages to drag her to the underwater civilization of Atlantis, despite her desperate yet futile attempts to resist. She notices that at Atlantis, many sea-people are practicing cannibalism, even though she believes that is totally immoral! But she decides it's okay in Atlantis because the sea-people in Atlantis seem to allow it. Susan's thought process is consistent with...",MC,,,moral nihilism.,,psychological egoism.,,cultural relativism.,,ethical subjectivism.,,,,,,,,,,,,,,,,,,,,,,,,3
3,Under which theory is altruism impossible?,MC,,,Psychological egoism,,Ethical egoism,,Act utilitarianism,,Rule utilitarianism,,,,,,,,,,,,,,,,,,,,,,,,1
4,"Under ethical egoism, which of the following actions is morally wrong?",MC,,,Stealing from your friend's room when no one's looking.,,Volunteering at a soup kitchen to gain volunteer hours.,,Jumping in front of a car that's about to hit your friend to save them.,,Hoarding toilet paper during COVID-19 for your own convenience.,,,,,,,,,,,,,,,,,,,,,,,,3
5,What is the beginning of the Euthyphro Argument (argument against the divine command theory)?,MC,,,"Either religious beliefs are factually correct, or they are not.",,"Either God has reasons for his commands, or he does not.",,"If God has arbitrary commands, he is imperfect.",,"If God is acting in his self interest, he is imperfect.",,,,,,,,,,,,,,,,,,,,,,,,2
6,All of the following are reasons people may be attracted to the Natural Law Theory EXCEPT...,MC,,,morality is scientific.,,morality is relativistic.,,it explains why morality is uniquely human.,,morality accords with common sense.,,,,,,,,,,,,,,,,,,,,,,,,2
7,"A consequentialist theory must define what is intrinsically good (and should be maximized). What does utilitarianism, the most common consequentialist theory, define as intrinsically good?",MC,,,overall well-being,,reason,,self-interest,,care for one another,,,,,,,,,,,,,,,,,,,,,,,,1
8,Some claim that utilitarianism requires an unreasonable amount of calculation/deliberation to determine the decision that would best promote happiness and minimize harm. What is John Stuart Mill's response to this?,MC,,,"I agree; thus, utilitarianism is not a good moral theory.",,"Yes, but this deliberation is important to truly maximize happiness in the world.",,"Actually, humanity has had time to do much of the calculations already; we can just analyze past patterns.",,This is an incorrect interpretation of utilitarianism; anyone who makes this objection ought to be ashamed of themselves.,,,,,,,,,,,,,,,,,,,,,,,,3
9,"Walking around campus without a face mask during the early days of the COVID-19 pandemic is overall a disgraceful, inconsiderate thing to do, and it is against Tufts rules. However, if no one is around, there is no practical reason to wear one as long as one makes sure to put it back on when someone does approach. Act utilitarianism would say _____ when no one's around; rule utilitarianism would say _____ when no one's around.",MC,,,"it's okay to take off the mask, it's okay to take off the mask",,"it's okay to take off the mask, one must still wear the mask",,"one must still wear the mask, it's okay to take off the mask",,"one must still wear the mask, one must still wear the mask",,,,,,,,,,,,,,,,,,,,,,,,2
10,"Nozick's ""The Experience Machine"" was a thought experiment that criticized...",MC,,,ethical egoism.,,utilitarianism.,,Kantian ethics.,,social contract theory.,,,,,,,,,,,,,,,,,,,,,,,,2
11,"Professor Smith puts a lot of effort into making high quality lecture videos for their students. They believe that it is their duty to teach students well, but this is ultimately motivated by a desire to get paid well. Kant would consider this action...",MC,,,moral.,,nonmoral.,,immoral.,,Both the second option and the third option,,,,,,,,,,,,,,,,,,,,,,,,2
12,"Who believed that the state of nature for humans is a ""war of all against all, in which the life of man is solitary, poor, nasty, brutish, and short""?",MC,,,Thomas Hobbes,,John Rawls,,Virginia Held,,None of the above,,,,,,,,,,,,,,,,,,,,,,,,1
13,"In <i>A Theory of Justice</i> by John Rawls, Rawls describes a specific, hypothetical procedure where contractors of a society write terms under an imaginary device that erases all knowledge of distinctive traits. What is this device called?",MC,,,Invisibility Cloak,,Veil of Ignorance,,Mind Eraser,,,,,,,,,,,,,,,,,,,,,,,,,,2
14,Ethical pluralism is descriptive of a theory where there is more than one fundamental moral rule or value. Which moral theory displays ethical pluralism?,MC,,,Ethical egoism,,Utilitarianism,,Social contract theory,,Virtue ethics,,,,,,,,,,,,,,,,,,,,,,,,4
15,"Compared to other ethical theories, ethics of care places a lot more emphasis on...",MC,,,emotion.,,people's rights.,,impartiality.,,competition.,,,,,,,,,,,,,,,,,,,,,,,,1
16,"In practice, which of the following is a correct analysis of the COVID-19 pandemic?",MC,,,COVID-19 is an equal opportunity killer; everyone is equally likely to be affected.,,COVID-19 affects the most vulnerable portion of society the most.,,Social distancing is not a privilege; it is something that everyone can and must do.,,People higher on the economic ladder (generally those with the ability to telework) are more likely to suffer from COVID-19.,,,,,,,,,,,,,,,,,,,,,,,,2
17,"Below is an argument often used against abortion. According to Mary Ann Warren, what is the flaw in this argument?",MC,"1. It is wrong to kill innocent human beings.
2. Fetuses are innocent human beings.
3. Therefore, it is wrong to kill fetuses.",,Premise 1 is false; it is often necessary to kill innocent human beings.,,Premise 2 is false; fetuses are not human beings in any sense.,,Premise 1 is about human beings in the genetic sense; Premise 2 is about human beings in the moral sense.,,Premise 1 is about human beings in the moral sense; Premise 2 is about human beings in the genetic sense.,,,,,,,,,,,,,,,,,,,,,,,,4
18,John Peter Singer's strong and moderate principles generally view the issue of famine relief from a(n) _____ perspective.,MC,,,utilitarian,,egoist,,virtue ethics,,natural law theory,,,,,,,,,,,,,,,,,,,,,,,,1
19,All of the following are true about Hugh LaFollette's parent licensing proposal EXCEPT...,MC,,,the purpose of licensing parents would be to protect children from harm.,,only the best parents should be licensed.,,potential parents who fail to obtain a license the first time should easily be able to reapply.,,the proposed licensing program would be less restrictive than the current requirements for adoptive parents.,,,,,,,,,,,,,,,,,,,,,,,,2
20,Which statement about Americans' view on capital punishment (the death penalty) is most accurate?,MC,,,"A majority of Americans are in favor of capital punishment, and members of minority populations generally agree with the majority.",,"A majority of Americans are in favor of capital punishment, but members of minority populations generally oppose capital punishment.",,"A majority of Americans oppose capital punishment, but members of minority populations generally are in favor of capital punishment.",,"A majority of Americans oppose capital punishment, and members of minority populations generally agree with the majority.",,,,,,,,,,,,,,,,,,,,,,,,2
